,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 2
(División por Fecha de Formalización),
,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL
FECHA SALDO ACTUAL SALDO PONDERADO Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO
FORMALIZACION EUROS ACTUAL % POR SALDO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses),
,1996 19 910.694,71 0,09 222 116 3,41 3,08 3,75
1997 323 15.354.173,28 1,50 257 160 3,50 2,67 4,25
1998 874 44.288.268,33 4,34 255 170 3,43 2,35 4,25
1999 1.277 68.375.885,14 6,70 260 187 3,42 2,42 4,00
2000 1.237 76.659.611,09 7,51 268 206 3,46 2,35 7,00
2001 2.025 142.264.406,82 13,93 272 224 3,33 2,35 7,00
2002 1.667 137.566.995,46 13,47 287 249 3,12 2,35 3,96
2003 2.223 209.419.006,67 20,51 303 277 3,03 2,35 4,36
2004 2.791 305.196.989,14 29,89 322 308 2,89 2,35 4,87
2005 180 21.014.541,54 2,06 329 323 2,76 2,42 3,47,
,TOTALES 12.616 1.021.050.572,18 100,00 294 258 3,12 2,353 7,00,
,,
