,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 2
(División por Tipo de Referencia),
,,
,VENCIMIENTO VENCIMIENTO
SALDO INICIAL RESIDUAL TIPO DIFERENCIAL
SALDO ACTUAL Min. TIPO Máx. TIPO
TIPO REFERENCIA NUM ACTUAL PONDERADO PONDERADO PONDERADO POR
EUROS ACTUAL ACTUAL
% POR SALDO POR SALDO SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),
,TOTALES EURIBOR 9.320 838.412.026,63 82,11 299 269 0,74 2,35 6,75
0,00 - 0,50 567 59.538.620,35 7,10 296 277 0,39 2,35 2,95
0,50 - 1,00 6.329 607.510.960,52 72,46 303 276 0,68 2,60 6,00
1,00 - 1,50 2.339 166.598.448,18 19,87 285 244 1,05 2,80 6,75
1,50 - 2,00 85 4.763.997,58 0,57 285 251 1,51 3,60 4,13
TOTALES IRPH 2.729 154.352.012,29 15,12 279 217 0,13 3,00 7,00
-0,50 - 0,00 69 4.059.342,29 2,63 276 200 -0,25 3,00 3,50
0,00 - 0,50 2.475 140.642.591,86 91,12 278 217 0,11 3,31 7,00
0,50 - 1,00 180 9.409.118,11 6,10 289 223 0,51 3,81 7,00
1,00 - 1,50 4 198.608,76 0,13 276 261 1,08 4,31 4,62
1,50 - 2,00 1 42.351,27 0,03 300 286 1,50 4,87 4,87,
,TOTALES MIBOR 567 28.286.533,26 2,77 236 152 1,05 2,42 4,00,
,0,00 - 0,50 6 390.266,24 1,38 303 218 0,25 2,42 2,63
0,50 - 1,00 24 1.160.841,30 4,10 230 138 0,78 2,76 3,25
1,00 - 1,50 516 25.755.286,76 91,05 235 151 1,06 3,11 3,75
1,50 - 2,00 21 980.138,96 3,47 247 161 1,52 3,61 4,00,
,TOTALES 12.616 1.021.050.572,18 100,00 294 258 2,353 7,00,
,,
