Name,Office in listed and/or material companies
Mr. Francisco Javier Soriano Arosa,CEO of EBN Banco de Negocios, S.A.
Chairman of the Board of EBN Capital,
S.G.C.R., S.A.
Director of Cartera Nuvalia, S.L.
Director of Consejo de Planiger, S.A.
Chairman of the Board of Campus Patrimonial,
S.A.
Director of Grupo Hoteles Playa, S.A.
Mr. Horacio Mesonero,Head of Risk Control Department of Caja
Municipal de Burgos.
Director of Ahorro Gestión Hipotecario, EFC,
S.A.
Director of Inmobiliaria Burgoyal, S.A.
Director of Europea de Desarrollos Urbanos,
S.A.
Mr. Francisco Javier Sáiz Alonso,General Vice-Manager of Financial Division of
Caja Castilla La Mancha
Director of Ahorro Corporación Gestión,
S.G.I.I.C., S.A.
Director of Analistas Financieros
Internacionales, S.A.
Director of Exportalia, S.L.
Mr. Víctor Iglesias Ruiz,General Vice-Manager, HEad of Credit
Investments and Capital Markets, Ibercaja.
Director of Ibercaja Leasing y Financiación, S.A.
EFC.
Director of Heraldo de Aragón, S.A.
Director of Gestión de Activos de Aragón, S.A.
