,,,Bond Issue.
,Date of,,
Securitisation Fund,,Initial Bond Issue,Balance at
,Incorporation,,
,,,30/09/2005
,,,
,,,
TDA 4, FONDO DE TITULIZACIÓN HIPOTECARIA,22-apr-98,150.253.026€,41,141,416€,,
TDA 5, FONDO DE TITULIZACIÓN HIPOTECARIA,16-oct-98,1.171.973.604€,266,717,646€,,
TDA 6, FONDO DE TITULIZACIÓN HIPOTECARIA,20-jan-99,351.500.000€,99,894,042€,,
TDA 7, FONDO DE TITULIZACIÓN HIPOTECARIA,12-mar-99,1.051.700.000€,368,524,858€,,
TDA 8, FONDO DE TITULIZACIÓN HIPOTECARIA,9-apr-99,150.200.000€,57,855,161€,,
TDA 9, FONDO DE TITULIZACIÓN HIPOTECARIA,12-may-99,332.400.000€,115,457,074€,,
TDA 10, FONDO DE TITULIZACIÓN HIPOTECARIA,21-jul-99,240.500.000€,73,308,589€,,
TDA 11, FONDO DE TITULIZACIÓN HIPOTECARIA,24-jan-00,660.600.000€,256,343,479€,,
TDA 12, FONDO DE TITULIZACIÓN HIPOTECARIA,26-jun-00,513.900.000€,219,457,451€,,
TDA 13-Mixto, FONDO DE TITULIZACIÓN DE,5-dec-00,389.500.000€,
ACTIVOS,,,182,950,750€,,
TDA 14-Mixto, FONDO DE TITULIZACIÓN DE,20-jun-01,601.100.000€,
ACTIVOS,,,310,183,412€,,
