,,,Bond Issue.
,Date of,,
Securitisation Fund,,Initial Bond Issue,Balance at
,Incorporation,,
,,,30/09/2005
,,,
,,,
BANCO FINANTIA SOFINLOC TDA Nº 2, FONDO,11-mar-05,Max. 500.000.000€,
DE TITULIZACIÓN DE ACTIVOS,,,47.454.633€
,,,
CAP-TDA 1, FONDO DE TITULACION DE ACTIVOS,25-jun-03,300.000.000€,300.000.000
FONDO DE TITULIZACIÓN DE ACTIVOS KWH-1,30-apr-04,202.000.000€,202.000.000
,,,
CÉDULAS TDA 1 FONDO DE TITULIZACIÓN DE,12-jun-03,1.750.000.000€,
ACTIVOS,,,1.750.000.000
CÉDULAS TDA 2 FONDO DE TITULIZACIÓN DE,13-nov-03,2.000.000.000€,
ACTIVOS,,,2.000.000.000
CÉDULAS TDA 3 FONDO DE TITULIZACIÓN DE,25-feb-04,2.000.000.000€,
ACTIVOS,,,2.000.000.000
CÉDULAS TDA 4 FONDO DE TITULIZACIÓN DE,10-jun-04,1.500.000.000€,
ACTIVOS,,,1.500.000.000
CÉDULAS TDA 5 FONDO DE TITULIZACIÓN DE,24-nov-04,1.500.000.000€,
ACTIVOS,,,1.500.000.000
