,,,Bond Issue.
,Date of,,
Securitisation Fund,,Initial Bond Issue,Balance at
,Incorporation,,
,,,30/09/2005
,,,
,,,
CÉDULAS TDA 6 FONDO DE TITULIZACIÓN DE,18-may-05,3.000.000.000€,
ACTIVOS,,,1.500.000.000
CÉDULAS TDA 7 FONDO DE TITULIZACIÓN DE,10-jun-05,2.000.000.000€,
ACTIVOS,,,2.000.000.000
,,,
FONDO DE TITULACION DE ACTIVOS,25-apr-96,4.297.236.546€,1.005.973.597
RESULTANTES DE LA MORATORIA NUCLEAR,,,
CAJA SAN FERNANDO CDO I, FONDO DE,17-feb-05,180.150.000$ +
128.200.000€,172.301.891,2$ +
124.495.424€
TITULIZACIÓN DE ACTIVOS,,,
