Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de marzo de 2006
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H*,22-abr-98,150.253.027€,36.342.717€
TDA 5 - F.T.H*,16-oct-98,1.171.973.634€,228.716.417€
TDA 6 - F.T.H*,20-ene-99,351.500.000€,88.153.199€
TDA 7 - F.T.H*,12-mar-99,1.051.700.000€,332.609.904€
TDA 8 - F.T.H,9-abr-99,150.200.000€,52.328.203€
TDA 9 - F.T.H*,12-may-99,332.400.000€,104.019.963€
TDA 10 - F.T.H,21-jul-99,240.500.000€,63.982.548€
TDA 11 - F.T.H*,24-ene-00,660.600.000€,229.515.788€
TDA 12 - F.T.H*,26-jun-00,513.900.000€,197.425.385€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A*,5-dic-00,389.500.000€,164.244.898€
TDA 14-MIXTO - F.T.A*,20-jun-01,601.100.000€,283.498.392€
TDA 15-MIXTO - F.T.A*,4-nov-02,450.900.000€,265.267.825€
TDA 16-MIXTO - F.T.A*,26-may-03,532.000.000€,290.410.286€
TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,294.244.603€
TDA 18-MIXTO - F.T.A*,14-nov-03,421.000.000€,268.178.527€
TDA 19-MIXTO - F.T.A*,27-feb-04,600.000.000€,405.346.662€
TDA 20-MIXTO - F.T.A*,25-jun-04,421.000.000€,336.545.217€
TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,552.087.118€
TDA 22-MIXTO - F.T.A*,1-dic-04,530.000.000€,401.603.548€
TDA 23 - F.T.A*,17-mar-05,860.000.000€,720.432.565€
TDA 24- F.T.A*,28-nov-05,485.000.000€,464.524.160€
TDA PASTOR 1 - F.T.A*,25-feb-03,494.600.000€,295.741.608€
TDA CAM 1 - F.T.A*,13-mar-03,1.000.000.000€,620.588.889€
TDA CAM 2 - F.T.A*,27-jun-03,1.100.000.000€,715.738.381€
TDA CAM 3 - F.T.A*,16-ene-04,1.200.000.000€,851.725.292€
TDA CAM 4 - F.T.A*,9-mar-05,2.000.000.000€,1.696.771.245€
TDA CAM 5 - F.T.A*,5-oct-05,2.000.000.000€,1.932.419.756€
TDA CAM 6 - F.T.A*,29-mar-06,1.300.000.000€,1.300.000.000€
TDA IBERCAJA 1 - F.T.A*,8-oct-03,600.000.000€,434.280.339€
TDA IBERCAJA 2 - F.T.A*,13-oct-05,904.500.000€,874.107.819€
TDA CAJAMAR 2 - F.T.A*,18-may-05,1.000.000.000€,866.425.338€
FTPYME TDA 3 - F.T.A*,14-feb-02,225.055.000€,62.988.070€
FTPYME TDA 4 - F.T.A*,10-oct-03,250.000.000€,133.503.896€
FTPYME TDA 5 - F.T.A*,29-dic-04,200.000.000€,141.064.025€
FTPYME TDA 6 - F.T.A*,24-nov-05,150.000.000€,136.212.007€
FTPYME TDA SABADELL 1 - F.T.A*,3-jun-02,600.000.000€,231.889.240€
FTPYME TDA SABADELL 2 - F.T.A*,12-nov-03,500.000.000€,461.452.976€
FTPYME TDA CAM 1 - F.T.A*,17-jun-02,600.000.000€,214.832.129€
FTPYME TDA CAM 2 - F.T.A*,17-nov-04,750.000.000€,574.535.084€
CIBELES III FTPYME - F.T.A*,18-dic-03,500.000.000€,500.000.000€
FTPYME TDA BANCA MARCH - F.T.A*,25-oct-04,200.000.000€,132.501.170€
CM BANCAJA 1 - F.T.A,28-sep-05,556.200.000€,469.960.963€
CÉDULAS TDA 1, F.T.A.*,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2, F.T.A.*,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3, F.T.A.*,25-feb-04,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 4, F.T.A.*,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5, F.T.A.*,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6, F.T.A.*,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7, F.T.A.*,10-jun-05,2.000.000.000€,2.000.000.000€
PROGRAMA CEDULAS TDA, F.T.A.*,3-mar-06,Máximo 30.000.000.000,2.025.000.000€
TDA AUTO ABS 2002, F.T.A.,8-jul-02,950.000.000€,325.818.317€
GLOBALDRIVE (SPAIN) 2002-1 TDA, F.T.A.,3-dic-02,488.000.000€,396.284.300€
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA, F.T.A.,5-abr-04,Máximo 3.000.000.000,890.614.793€
GLOBALDRIVE SERIES 3 (SPAIN) TDA, F.T.A.,10-may-05,499.999.948€,401.792.923€
BANCO FINANTIA SOFINLOC Nº 1, F.T.A.,1-jul-04,Máximo 150,000,000€,74.233.191€
BANCO FINANTIA SOFINLOC TDA Nº 2, F.T.A.,11-mar-05,Máximo 500.000.000,57.303.661€
CAP-TDA 1, F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULIZACIÓN DE ACTIVOS KWH-1,30-abr-04,202.000.000€,202.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,0€
CAJA SAN FERNANDO CDO I, F.T.A.,17-feb-05,$167.250.000,$148.097.095
,,116.400.000€,105.268.690€
