Fechas,,Euribor
3 Meses,Bono A1,Bono A2,Bono A3,Bono B,Bono C,Bono D,Bono E,Bono F
9/oct/06,3,470%,,3,600%,3,640%,3,640%,3,770%,3,870%,4,120%,5,970%,7,220%
6/oct/06,3,464%,,3,594%,3,634%,3,634%,3,764%,3,864%,4,114%,5,964%,7,214%
5/oct/06,3,464%,,3,594%,3,634%,3,634%,3,764%,3,864%,4,114%,5,964%,7,214%
4/oct/06,3,453%,,3,583%,3,623%,3,623%,3,753%,3,853%,4,103%,5,953%,7,203%
3/oct/06,3,435%,,3,565%,3,605%,3,605%,3,735%,3,835%,4,085%,5,935%,7,185%
2/oct/06,3,424%,,3,554%,3,594%,3,594%,3,724%,3,824%,4,074%,5,924%,7,174%
29/sep/06,3,417%,,3,547%,3,587%,3,587%,3,717%,3,817%,4,067%,5,917%,7,167%
28/sep/06,3,413%,,3,543%,3,583%,3,583%,3,713%,3,813%,4,063%,5,913%,7,163%
27/sep/06,3,376%,,3,506%,3,546%,3,546%,3,676%,3,776%,4,026%,5,876%,7,126%
26/sep/06,3,368%,,3,498%,3,538%,3,538%,3,668%,3,768%,4,018%,5,868%,7,118%
25/sep/06,3,374%,,3,504%,3,544%,3,544%,3,674%,3,774%,4,024%,5,874%,7,124%
22/sep/06,3,376%,,3,506%,3,546%,3,546%,3,676%,3,776%,4,026%,5,876%,7,126%
21/sep/06,3,372%,,3,502%,3,542%,3,542%,3,672%,3,772%,4,022%,5,872%,7,122%
20/sep/06,3,520%,,3,650%,3,690%,3,690%,3,820%,3,920%,4,170%,6,020%,7,270%
19/sep/06,3,349%,,3,479%,3,519%,3,519%,3,649%,3,749%,3,999%,5,849%,7,099%
18/sep/06,3,340%,,3,470%,3,510%,3,510%,3,640%,3,740%,3,990%,5,840%,7,090%
15/sep/06,3,335%,,3,465%,3,505%,3,505%,3,635%,3,735%,3,985%,5,835%,7,085%
14/sep/06,3,333%,,3,463%,3,503%,3,503%,3,633%,3,733%,3,983%,5,833%,7,083%
13/sep/06,3,321%,,3,451%,3,491%,3,491%,3,621%,3,721%,3,971%,5,821%,7,071%
12/sep/06,3,315%,,3,445%,3,485%,3,485%,3,615%,3,715%,3,965%,5,815%,7,065%
