Fecha de Pago,Saldo Objetivo
23/oct/06,270.400.000
26/feb/07,270.400.000
28/may/07,270.400.000
27/ago/07,270.400.000
26/nov/07,270.400.000
26/feb/08,270.400.000
26/may/08,270.400.000
26/ago/08,270.400.000
26/nov/08,270.400.000
26/feb/09,270.400.000
26/may/09,270.400.000
26/ago/09,270.400.000
26/nov/09,270.400.000
26/feb/10,270.400.000
26/may/10,270.400.000
26/ago/10,254.400.000
26/nov/10,238.400.000
28/feb/11,222.400.000
26/may/11,206.400.000
26/ago/11,190.400.000
28/nov/11,174.600.000
27/feb/12,158.800.000
28/may/12,143.200.000
27/ago/12,127.600.000
26/nov/12,112.100.000
26/feb/13,96.600.000
27/may/13,81.400.000
26/ago/13,67.200.000
26/nov/13,54.000.000
26/feb/14,41.700.000
26/may/14,30.200.000
26/ago/14,19.400.000
26/nov/14,9.300.000
26/feb/15,0
