,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie A2,,,,,
,Vida media (años),6,67,,5,34,,4,34,,
,TIR,3,74%,,3,73%,,3,73%,,
,Duración (años),5,35,,4,41,,3,68,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
,,,,,,,,
,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie A3PAC,,,,,
,Vida media (años),5,92,,5,92,,5,92,,
,TIR,3,74%,,3,74%,,3,74%,,
,Duración (años),5,13,,5,13,,5,13,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
,,,,,,,,
,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie B,,,,,
,Vida media (años),10,09,,8,39,,7,08,,
,TIR,3,87%,,3,87%,,3,87%,,
,Duración (años),7,98,,6,85,,5,92,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
,,,,,,,,
,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie C,,,,,
,Vida media (años),10,09,,8,39,,7,08,,
,TIR,3,98%,,3,98%,,3,98%,,
,Duración (años),7,93,,6,81,,5,89,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
,,,,,,,,
,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie D,,,,,
,Vida media (años),10,09,,8,39,,7,08,,
,TIR,4,24%,,4,24%,,4,24%,,
,Duración (años),7,82,,6,72,,5,83,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
,,,,,,,,
,% TAA:,,10%,,13%,,16%,
,,,Bonos Serie E,,,,,
,Vida media (años),10,09,,8,39,,7,08,,
,TIR,6,18%,,6,18%,,6,18%,,
,Duración (años),7,02,,6,12,,5,36,,
,Fecha de Liquidación Anticipada del Fondo,26/05/2021,,26/02/2019,,26/05/2017,,
,al 10%,,,,,,,
