CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 4
(División por Ratio Saldo Actual/Tasación)

RATIO SALDO
VENCIMIENTO VENCIMIENTO TIPO
ACTUAL/
SALDO INICIAL RESIDUAL ACTUAL
RATIO SALDO SALDO ACTUAL TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO
ACTUAL/TASACION EUROS PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
POR SALDO
INICIAL (meses) ACTUAL (meses) ACTUAL
ACTUAL
0,00 - 10,00 91 1.991.001,39 0,13 185 149 3,84 7,68 2,82 4,64
10,00 - 20,00 476 16.103.466,24 1,04 203 172 3,75 16,10 2,47 6,75
20,00 - 30,00 885 44.636.420,91 2,88 231 199 3,75 25,61 2,47 5,75
30,00 - 40,00 1.195 80.456.105,91 5,19 258 228 3,76 35,36 2,47 5,25
40,00 - 50,00 1.664 143.770.458,80 9,28 281 253 3,77 45,41 2,35 6,00
50,00 - 60,00 2.114 221.188.112,17 14,27 300 272 3,76 55,28 2,47 5,50
60,00 - 70,00 2.775 310.501.088,23 20,03 307 278 3,74 65,40 2,47 6,97
70,00 - 80,00 2.337 266.399.646,51 17,19 313 283 3,76 72,64 2,47 7,00
80,00 - 90,00 1.291 173.123.118,88 11,17 351 326 3,90 85,47 2,47 6,50
90,00 - 100,00 2.049 291.834.693,98 18,83 370 348 3,94 94,22 2,47 6,50
TOTALES 14.877 1.550.004.113,02 100,00 315 288 3,81 67,72 2,350 7,00
