Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de octubre de 2007
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H,22-abr-98,150.253.027€,22.661.439€
TDA 5 - F.T.H,16-oct-98,1.171.973.634€,147.965.125€
TDA 6 - F.T.H,20-ene-99,351.500.000€,56.494.880€
TDA 7 - F.T.H,12-mar-99,1.051.700.000€,224.595.734€
TDA 8 - F.T.H,9-abr-99,150.200.000€,39.358.525€
TDA 9 - F.T.H,12-may-99,332.400.000€,75.251.668€
TDA 10 - F.T.H,21-jul-99,240.500.000€,43.445.172€
TDA 11 - F.T.H,24-ene-00,660.600.000€,160.040.976€
TDA 12 - F.T.H,26-jun-00,513.900.000€,137.280.237€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A,5-dic-00,389.500.000€,116.674.900€
TDA 14-MIXTO - F.T.A,20-jun-01,601.100.000€,210.520.777€
TDA 15-MIXTO - F.T.A,4-nov-02,450.900.000€,208.454.669€
TDA 16-MIXTO - F.T.A,26-may-03,532.000.000€,208.672.752€
TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,215.407.110€
TDA 18-MIXTO - F.T.A,14-nov-03,421.000.000€,198.112.553€
TDA 19-MIXTO - F.T.A,27-feb-04,600.000.000€,313.342.289€
TDA 20-MIXTO - F.T.A,25-jun-04,421.000.000€,249.241.059€
TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,392.181.390€
TDA 22-MIXTO - F.T.A,1-dic-04,530.000.000€,293.397.778€
TDA 23 - F.T.A,17-mar-05,860.000.000€,548.714.473€
TDA 24- F.T.A,28-nov-05,485.000.000€,364.850.329€
TDA 25- F.T.A,29-jul-06,265.000.000€,215.862.030€
TDA 26-MIXTO - F.T.A,5-jul-06,908.100.000€,755.865.472€
TDA 27- F.T.A,20-dic-06,930.600.000€,843.251.473€
TDA 28- F.T.A.,18-jul-07,451.350.000€,444.484.183€
TDA 29- F.T.A.,25-jul-07,814.900.000€,814.900.000€
TDA PASTOR 1 - F.T.A,25-feb-03,494.600.000€,221.163.534€
TDA CAM 1 - F.T.A,13-mar-03,1.000.000.000€,479.332.092€
TDA CAM 2 - F.T.A,27-jun-03,1.100.000.000€,520.579.325€
TDA CAM 3 - F.T.A,16-ene-04,1.200.000.000€,616.404.743€
TDA CAM 4 - F.T.A,9-mar-05,2.000.000.000€,1.319.931.984€
TDA CAM 5 - F.T.A,5-oct-05,2.000.000.000€,1.519.628.074€
TDA CAM 6, FTA,29-mar-06,1.300.000.000€,1.070.955.696€
TDA CAM 7, FTA,13-oct-06,1.750.000.000€,1.602.916.452€
TDA CAM 8, FTA,7-mar-07,1.712.800.000€,1.629.263.768€
TDA CAM 9, FTA,3-jul-07,1.515.000.000€,1.484.654.023€
TDA IBERCAJA 1 - F.T.A,8-oct-03,600.000.000€,331.723.385€
TDA IBERCAJA 2 - F.T.A,13-oct-05,904.500.000€,696.513.269€
TDA CAJAMAR 2 - F.T.A,18-may-05,1.000.000.000€,665.005.788€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,843.084.800€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.262.192.927€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,1.172.467.790€
