,DESGLOSE POR INTERVALO DE SALDO VIVO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,,,,Préstamos,,,,,,
,,,,,,,,,,,,,,,,,,,
,Principal pendiente,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nº de Présta-,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Importe (€),,,,,,%,,,mos,,,,,%,
,,,,,,,,,,,,,,,,,,,
,0-10000,,,2.123.428,18,,,,,,0,47%,,,255,,,,,2,79%,
,10000-20000,,,11.469.290,30,,,,,,2,52%,,,779,,,,,8,52%,
,20000-30000,,,26.945.222,16,,,,,,5,92%,,,1.063,,,,,11,63%,
,30000-40000,,,52.771.160,77,,,,,,11,60%,,,1.503,,,,,16,44%,
,40000-50000,,,60.972.069,51,,,,,,13,41%,,,1.372,,,,,15,01%,
,50000-60000,,,72.638.524,11,,,,,,15,97%,,,1.334,,,,,14,60%,
,60000-70000,,,51.947.050,41,,,,,,11,42%,,,800,,,,,8,75%,
,70000-80000,,,69.241.125,55,,,,,,15,23%,,,928,,,,,10,15%,
,80000-90000,,,42.429.598,54,,,,,,9,33%,,,502,,,,,5,49%,
,90000-100000,,,23.938.976,04,,,,,,5,26%,,,254,,,,,2,78%,
,100000-110000,,,18.677.646,13,,,,,,4,11%,,,177,,,,,1,94%,
,110000-120000,,,10.973.461,16,,,,,,2,41%,,,96,,,,,1,05%,
,120000-130000,,,5.988.155,97,,,,,,1,32%,,,48,,,,,0,53%,
,130000-140000,,,2.240.239,32,,,,,,0,49%,,,17,,,,,0,19%,
,160000-170000,,,1.648.851,00,,,,,,0,36%,,,10,,,,,0,11%,
,200000-210000,,,202.980,61,,,,,,0,04%,,,1,,,,,0,01%,
,560000-570000,,,563.982,94,,,,,,0,12%,,,1,,,,,0,01%,
,,,,,,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,,,,100,00%,,,9.140,,,,,100,00%,
,,,,,,,,,,,,,,,,,,,
,Importe (€) Máximo,,,563.982,94,,,,,,,,,,,,,,,
,Importe (€) Mínimo,,,2.119,92,,,,,,,,,,,,,,,
,Importe (€) Medio,,,49.756,21,,,,,,,,,,,,,,,
