,DESGLOSE POR ANTIGÜEDAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,,,,,,,,,,,,,,
,Antigüedad (meses),,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,12-24,,,34.519.047,99,,,7,59%,,,454,,,4,97%,
,24-36,,,94.017.506,38,,,20,67%,,,1.109,,,12,13%,
,36-48,,,60.786.352,98,,,13,37%,,,933,,,10,21%,
,48-60,,,64.166.962,78,,,14,11%,,,1.065,,,11,65%,
,60-72,,,43.982.609,58,,,9,67%,,,814,,,8,91%,
,72-84,,,50.797.474,27,,,11,17%,,,1.078,,,11,79%,
,84-96,,,39.235.427,20,,,8,63%,,,980,,,10,72%,
,96-108,,,25.960.313,87,,,5,71%,,,798,,,8,73%,
,108-120,,,15.031.257,39,,,3,31%,,,527,,,5,77%,
,120-132,,,15.873.822,70,,,3,49%,,,626,,,6,85%,
,132-144,,,5.268.081,55,,,1,16%,,,302,,,3,30%,
,144-156,,,3.646.041,53,,,0,80%,,,294,,,3,22%,
,156-168,,,1.312.304,64,,,0,29%,,,138,,,1,51%,
,168-180,,,163.658,67,,,0,04%,,,21,,,0,23%,
,180-192,,,10.901,17,,,0,00%,,,1,,,0,01%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
,,,,,,,,,,,,,,
,Antigüedad Máxima,,,186,,,,,,,,,,
,Antigüedad Mínima,,,21,,,,,,,,,,
,Media ponderada,,,61,,,,,,,,,,
