Importes en millones de euros,,,,31.03.09,,,31.12.2008,,,31.12.2007,
,BALANCE,,,,,,,,,,
Activos Totales,,,11.756,,,11.842,,,11.239,,
Activos Totales extitulización,,,9.862,,,9.857,,,9.855,,
Crédito a la Clientela Bruto,,,9.140,,,8.901,,,8.694,,
Crédito a la Clientela Bruto extitulización,,,7.034,,,6.915,,,7.310,,
Recursos Gestionados,,,18.973,,,19.192,,,18.232,,
Recursos Ajenos en Balance,,,9.834,,,10.291,,,9.538,,
Otros Recursos Gestionados (1),,,417,,,482,,,864,,
Volumen de Negocio,,,19.018,,,19.714,,,18.983,,
Volumen de Negocio extitulización,,,16.946,,,17.542,,,17.400,,
Recursos Propios,,,n/d,,,1.090,,,1.073,,
,,,,,,,,,,,
,CUENTA DE RESULTADOS,,,,,,,,,,
Margen de intereses,,,N/A,,,N/A,,,186,,
Margen básico,,,N/A,,,N/A,,,,,
Margen Bruto,,,N/A,,,N/A,,,248,,
Resultado Actividad de Explotación,,,15,,,-80,,,140,,
Resultado antes de Impuestos,,,14,,,87,,,98,,
Resultado después de Impuestos,,,11,,,49,,,72,,
Resultado Neto atribuido al Grupo,,,11,,,50,,,35,,
,,,,,,,,,,,
,RATIOS,,,,,,,,,,
Índice de Morosidad,,,4,20%,,,3,02%,,,0,65%,,
Índice de Cobertura de la Morosidad,,,56,35%,,,92,10%,,,260,20%,,
Índice de Morosidad de la cartera hipotecaria,,,5,22%,,,3,07%,,,0,58%,,
Ratio de Eficiencia (2),,,n/d,,,N/A,,,48,88%,,
Ratio de Eficiencia Estricto (3),,,n/d,,,N/A,,,49,85%,,
Coeficiente de Solvencia,,,n/d,,,13,37%,,,12,91%,,
Fondos Propios Básicos,,,n/d,,,626,,,590,,
Fondos Propios Estables (4),,,n/d,,,462,,,465,,
,,,,,,,,,,,
,OFICINAS Y EMPLEADOS,,,,,,,,,,
Oficinas (5),,,286,,,283,,,277,,
Empleados (5),,,1.572,,,1.570,,,1.628,,
