,SERIE,,,IMPORTE EMISIÓN,,,MOODY’S,,,FITCH,,,MARGEN,
Serie AG*,,,331.600.000,,,Aaa,,,AAA,,,0,50%,,
Serie B (CA),,,9.800.000,,,A2,,,A,,,0,80%,,
Serie B (CM),,,3.300.000,,,A2,,,A,,,0,80%,,
Serie B (CP),,,2.700.000,,,A2,,,A,,,0,80%,,
Serie B (CT),,,2.000.000,,,A2,,,A,,,0,80%,,
Serie C (CA),,,3.200.000,,,Ba2,,,BBB,,,2,00%,,
Serie C (CM),,,2.300.000,,,Ba2,,,BBB,,,2,00%,,
Serie C (CP),,,1.500.000,,,Ba2,,,BBB,,,2,00%,,
Serie C (CT),,,1.500.000,,,Ba2,,,BBB,,,2,00%,,
Serie D (CA),,,6.100.000,,,C,,,N/A,,,5,00%,,
Serie D (CM),,,2.500000,,,C,,,N/A,,,5,00%,,
Serie D (CP),,,1.600.000,,,C,,,N/A,,,5,00%,,
Serie D (CT),,,1.400.000,,,C,,,N/A,,,5,00%,,
