Tipo de Tipo de
interes Interes
Rango Saldo Inicial Saldo Vivo %Numero Ptmos Mínimo Máximo
0 - 30000 5.901.133,85 € 0,32% 284 2,45 5,5
30000 - 60000 47.818.730,23 € 2,61% 1.234 2,6 5
60000 - 90000 124.421.983,59 € 6,80% 1.842 2,603 5
90000 - 120000 199.619.591,84 € 10,91% 2.051 2,58 5,5
120000 - 150000 256.710.928,35 € 14,04% 2.024 2,603 4,755
150000 - 180000 299.864.060,13 € 16,40% 1.915 2,603 4,805
180000 - 210000 327.682.596,88 € 17,92% 1.752 2,59 5,25
210000 - 240000 265.976.759,12 € 14,54% 1.234 2,45 4,5
240000 - 270000 135.527.698,15 € 7,41% 560 2,603 4,355
270000 - 300000 66.062.126,33 € 3,61% 244 2,618 5,001
300000 - 330000 32.855.840,71 € 1,80% 111 2,75 4,25
330000 - 360000 18.614.826,84 € 1,02% 57 2,603 4
360000 - 390000 18.202.091,75 € 1,00% 52 2,795 4,055
390000 - 420000 7.922.533,37 € 0,43% 23 2,703 4,055
420000 - 450000 4.574.342,89 € 0,25% 12 2,723 3,434
450000 - 480000 3.604.415,08 € 0,20% 8 3,05 4,105
480000 - 510000 3.105.043,10 € 0,17% 7 2,918 3,833
510000 - 540000 1.771.320,65 € 0,10% 4 3 3,193
540000 - 570000 2.009.776,12 € 0,11% 4 2,673 3,75
570000 - 600000 1.006.173,84 € 0,06% 2 2,95 3,464
600000 - 630000 1.182.704,09 € 0,06% 2 2,853 3,5
630000 - 660000 1.817.382,17 € 0,10% 3 2,943 3,164
690000 - 720000 1.127.792,52 € 0,06% 2 2,7 3,664
840000 - 870000 843.992,68 € 0,05% 1 2,85 2,85
900000 - 930000 691.726,69 € 0,04% 1 3,583 3,583
Total 1.828.915.570,97 €100,00% 13.429 2,45 5,5
