Tipo de
Interés Margen Numero interes Tipo de Interes
Fecha de concesión Pond Ponderado Saldo Vivo % Disposic. Mínimo Máximo
1994 3,76 0,43 242.219,21 € 0,01% 7 3,60 4,20
1995 4,20 0,75 99.512,66 € 0,01% 4 4,00 4,40
1996 4,24 0,76 1.306.314,85 € 0,07% 33 3,50 5,50
1997 4,01 0,69 5.862.802,91 € 0,32% 133 3,00 4,75
1998 4,02 0,59 5.917.927,27 € 0,32% 117 3,00 5,00
1999 3,83 0,39 7.081.184,14 € 0,39% 144 3,17 4,50
2000 3,88 0,31 14.130.054,73 € 0,77% 233 3,00 5,00
2001 3,81 0,34 21.716.236,51 € 1,19% 307 2,70 5,25
2002 3,64 0,43 53.147.416,30 € 2,91% 594 2,70 4,75
2003 3,51 0,62 129.530.783,82 € 7,08% 1.251 2,67 4,71
2004 3,34 0,64 212.724.208,30 € 11,63% 1.782 2,60 4,71
2005 3,62 0,72 1.329.943.030,24 € 72,72% 8.548 2,45 5,50
2006 3,60 0,71 47.213.880,03 € 2,58% 276 2,85 4,65
Total general 3,59 0,68 1.828.915.570,97 € 100,00% 13.429 2,45 5,50
