Rango Interés Margen Numero Tipo de interes Tipo de Interes
Ref Dif tipo act Pond Ponderado Saldo Vivo % Disp. Inic Mínimo Máximo
CECA TAE 4,50 0,00 76.659,96 € 0,00% 1 4,50 4,50
4,5 - 5 4,50 0,00 76.659,96 € 0,00% 1 4,50 4,50
IRPH TAE 3,68 0,25 782.227.771,05 € 42,77% 5.878 2,60 5,50
2,5 - 3 2,89 0,29 5.873.808,04 € 0,32% 36 2,60 2,98
3 - 3,5 3,27 0,18 171.829.618,65 € 9,40% 1.229 3,00 3,49
3,5 - 4 3,72 0,25 475.748.320,34 € 26,01% 3.508 3,50 3,99
4 - 4,5 4,08 0,31 122.640.258,04 € 6,71% 1.047 4,00 4,47
4,5 - 5 4,51 0,47 5.753.118,26 € 0,31% 55 4,50 4,65
5 - 5,5 5,00 1,23 297.234,72 € 0,02% 2 5,00 5,00
5,5 - 6 5,50 0,50 85.413,00 € 0,00% 1 5,50 5,50
EURIBOR 12 m 3,51 1,01 1.032.815.784,12 € 56,47% 7.253 2,45 5,25
2 - 2,5 2,45 1,50 260.644,56 € 0,01% 2 2,45 2,45
2,5 - 3 2,87 0,72 105.544.749,64 € 5,77% 768 2,58 2,99
3 - 3,5 3,22 0,94 348.273.355,26 € 19,04% 2.486 3,00 3,49
3,5 - 4 3,72 1,07 461.091.126,20 € 25,21% 3.132 3,50 3,99
4 - 4,5 4,15 1,26 113.691.779,21 € 6,22% 828 4,00 4,46
4,5 - 5 4,59 1,53 3.781.633,20 € 0,21% 36 4,50 4,81
5 - 5,5 5,25 2,00 172.496,05 € 0,01% 1 5,25 5,25
CECA Nominal 4,79 0,27 579.527,56 € 0,03% 15 4,75 5,50
4,5 - 5 4,75 0,25 510.600,72 € 0,03% 13 4,75 4,75
5 - 5,5 5,00 0,25 53.785,19 € 0,00% 1 5,00 5,00
5,5 - 6 5,50 1,00 15.141,65 € 0,00% 1 5,50 5,50
IRPH Nominal 4,10 0,56 10.152.660,02 € 0,56% 222 3,50 4,75
3,5 - 4 3,71 0,30 2.313.876,04 € 0,13% 48 3,50 3,80
4 - 4,5 4,13 0,62 6.309.002,52 € 0,34% 138 4,00 4,40
4,5 - 5 4,55 0,71 1.529.781,46 € 0,08% 36 4,50 4,75
MIBOR 12 m 3,64 1,13 3.063.168,26 € 0,17% 60 3,00 5,00
3 - 3,5 3,23 0,95 1.156.836,83 € 0,06% 23 3,00 3,25
3,5 - 4 3,62 1,18 1.041.728,90 € 0,06% 20 3,50 3,75
4 - 4,5 4,08 1,19 674.131,37 € 0,04% 12 4,00 4,25
4,5 - 5 4,54 1,71 150.636,57 € 0,01% 4 4,50 4,75
5 - 5,5 5,00 2,00 39.834,59 € 0,00% 1 5,00 5,00
Total general 3,59 0,68 1.828.915.570,97 € 100,00% 13.429 2,45 5,50
