Suma de Suma de
Interés Margen Numero Tipo de interes Tipo de Interes
Rango LTV Inicial Pond Ponderado Saldo Vivo % Disposic. Mínimo Máximo
0 - 10 3,33 0,57 2.927.551,87 € 0,16% 103 2,603 4
10 - 20 3,36 0,67 19.218.434,74 € 1,05% 440 2,45 4,5
20 - 30 3,41 0,63 37.104.744,35 € 2,03% 618 2,6 4,5
30 - 40 3,45 0,65 56.211.621,07 € 3,07% 733 2,58 5,5
40 - 50 3,43 0,64 69.117.260,77 € 3,78% 750 2,603 4,75
50 - 60 3,44 0,64 98.159.148,56 € 5,37% 850 2,603 4,75
60 - 70 3,46 0,67 114.364.957,73 € 6,25% 903 2,603 4,75
70 - 80 3,46 0,68 265.414.650,42 € 14,51% 1.953 2,603 4,75
80 - 90 3,57 0,76 151.307.738,17 € 8,27% 978 2,59 5,25
90 - 100 3,68 0,691.015.089.463,29 € 55,50% 6.101 2,45 5,001
Total general 3,59 0,681.828.915.570,97 € 100,00% 13.429 2,45 5,5
