Deudor,,,Número,,,Saldo
Vivo,,,% S aldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,,T ipo de interés
Medio ponder.,,
1 1 1.569.078,76 0,08% 1.569.079 1.905.208 4,50%
2 1 1.198.814,08 0,06% 1.198.814 1.244.900 4,12%
3 1 985.595,71 0,05% 985.596 1.000.000 3,47%
4 1 886.834,30 0,04% 886.834 908.000 4,02%
5 1 834.421,36 0,04% 834.421 850.000 3,25%
6 1 787.674,01 0,04% 787.674 800.000 3,70%
7 1 758.609,96 0,04% 758.610 1.142.000 3,43%
8 1 700.586,11 0,03% 700.586 709.194 3,77%
9 1 683.714,61 0,03% 683.715 720.000 4,00%
10 1 676.646,11 0,03% 676.646 908.000 3,58%
Otros 13.090 2.030.822.682,40 99,55% 155.143 2.122.951.575 4,32%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,.,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,,,
