Fecha de Fijación de
tipo,Euribor
3 meses,Serie A1,Series A2a y
A2b,Serie B,Serie C,Serie D,Serie E
Margen:,,0,03%,0,12%,0,15%,0,25%,0,45%,3,50%
04/11/2005,2.265%,2.295%,2.385%,2.415%,2.515%,2.715%,5.765%
07/11/2005,2.274%,2.304%,2.394%,2.424%,2.524%,2.724%,5.774%
08/11/2005,2.297%,2.327%,2.417%,2.447%,2.547%,2.747%,5.797%
09/11/2005,2.305%,2.335%,2.425%,2.455%,2.555%,2.755%,5.805%
10/11/2005,2.324%,2.354%,2.444%,2.474%,2.574%,2.774%,5.824%
11/11/2005,2.321%,2.351%,2.441%,2.471%,2.571%,2.771%,5.821%
14/11/2005,2.323%,2.353%,2.443%,2.473%,2.573%,2.773%,5.823%
15/11/2005,2.350%,2.380%,2.470%,2.500%,2.600%,2.800%,5.850%
16/11/2005,2.350%,2.380%,2.470%,2.500%,2.600%,2.800%,5.850%
17/11/2005,2.350%,2.380%,2.470%,2.500%,2.600%,2.800%,5.850
