Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Tipo Actual,,
Tipo
Saldo Nominal Vto Residual Vto Inicial Tipo
Saldo Nominal Actual Tipo Actual
Tipo Actual Número Pendiente no Medio Pond Medio Pond Actual
Pendiente no Vencido Medio Máximo
Vencido % (meses) (meses) Mínimo
Pond,,
[0,50 ‐ 1,00) 4.038 516.844.979 35,16% 359,73 427,39 0,89 0,73 1,00
[1,00 ‐ 1,50) 6.678 808.687.652 55,01% 360,14 416,95 1,17 1,00 1,49
[1,50 ‐ 2,00) 1.085 103.899.865 7,07% 332,84 389,09 1,65 1,51 1,99
[2,00 ‐ 2,50) 158 14.605.008 0,99% 326,71 376,93 2,16 2,00 2,49
[2,50 ‐ 3,00) 139 15.443.304 1,05% 397,75 425,14 2,55 2,51 2,88
[3,00 ‐ 3,50) 23 2.600.359 0,18% 362,21 378,67 3,42 3,01 3,48
[3,50 ‐ 4,00) 69 7.089.319 0,48% 379,86 398,42 3,55 3,50 3,75
[4,00 ‐ 4,50) 4 502.081 0,03% 345,64 380,42 4,07 4,00 4,25
[5,00 ‐ 5,50) 1 115.612 0,01% 277,00 301,00 5,05 5,05 5,05
[6,00 ‐ 6,50) 2 202.508 0,01% 189,96 200,96 6,08 6,00 6,25,,
TOTAL 12.197 1.469.990.687,61 100,00% 358 418 1,15,,
Tipo Actual (en %)
Máximo 6,25,,
Mínimo,0,73,
Medio 1,15,,
