Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Comunidad Autónoma de la Garantia
Saldo
Nominal Vto Residual Vto Inicial
Saldo Nominal Tipo Actual
Comunidad Autónoma Garantía Número Pendiente Medio Pond Medio Pond
Pendiente no Vencido Medio Pond
no Vencido (meses) (meses)
%
Galicia 2.856 288.650.248,32 19,64% 351 415 1,13
Extremadura 2.944 262.458.712,01 17,85% 330 396 1,18
Cataluña 1.551 255.596.975,95 17,39% 394 443 1,15
Madrid 1.378 232.680.964,92 15,83% 370 428 1,13
Andalucía 807 107.016.295,50 7,28% 353 413 1,14
Castilla y León 996 103.263.512,68 7,02% 330 395 1,15
Cdad Valenciana 690 89.989.880,35 6,12% 374 431 1,15
Castilla‐La Mancha 307 45.250.683,44 3,08% 381 434 1,14
Asturias 280 28.606.501,74 1,95% 323 391 1,31
Pais Vasco 140 22.585.867,07 1,54% 356 420 1,08
Aragón 71 9.013.571,62 0,61% 365 416 1,14
Cantabria 69 8.568.396,29 0,58% 358 412 0,99
Navarra 44 6.710.956,12 0,46% 357 423 0,95
La Rioja 42 6.312.909,07 0,43% 374 435 1,01
Murcia 12 1.750.167,93 0,12% 362 421 1,16
Baleares 6 1.080.593,68 0,07% 232 302 0,98
Canarias 3 269.831,73 0,02% 207 292 1,30
Ceuta 1 184.619,19 0,01% 180 241 0,86
TOTAL 12.197 1.469.990.687,61 100,00% 358 418 1,15
