Fecha,EURIBOR 3M,Bonos A,Bonos B,Bonos C,Bonos D,Bonos E
30/09/05,2,176%,2,356%,2,366%,2,516%,2,726%,5,676%
31/10/05,2,263%,2,443%,2,453%,2,603%,2,813%,5,763%
30/11/05,2,473%,2,653%,2,663%,2,813%,3,023%,5,973%
30/12/05,2,488%,2,668%,2,678%,2,828%,3,038%,5,988%
31/01/06,2,547%,2,727%,2,737%,2,887%,3,097%,6,047%
28/02/06,2,664%,2,844%,2,854%,3,004%,3,214%,6,164%
31/03/06,2,816%,2,996%,3,006%,3,156%,3,366%,6,316%
28/04/06,2,852%,3,032%,3,042%,3,192%,3,402%,6,352%
30/05/06,2,922%,3,102%,3,112%,3,262%,3,472%,6,422%
13/06/06,2,959%,3,139%,3,149%,3,299%,3,509%,6,459%
20/07/06,3,117%,3,297%,3,307%,3,457%,3,667%,6,617%
31/08/06,3,264%,3,444%,3,454%,3,604%,3,814%,6,764%
13/06/06,2,959%,3,139%,3,149%,3,299%,3,509%,6,459%
20/07/06,3,117%,3,297%,3,307%,3,457%,3,667%,6,617%
31/08/06,3,264%,3,444%,3,454%,3,604%,3,814%,6,764%
29/09/06,3,417%,3,597%,3,607%,3,757%,3,967%,6,917%
31/10/06,3,564%,3,744%,3,754%,3,904%,4,114%,7,064%
03/11/06,3,566%,3,746%,3,756%,3,906%,4,116%,7,066%
21/11/06,3,604%,3,784%,3,794%,3,944%,4,154%,7,104%
