IM CAJAMAR 5, FTA,,,,
,,,,
ESCENARIO,,10% TAA,12% TAA,15% TAA
Bono A,Vida Media (años),5,82,5,16,4,39
,TIR,5,119%,5,119%,5,119%
,Duración,4,50,4,07,3,56
Bono B,Vida Media (años),9,65,8,56,7,29
,TIR,5,277%,5,277%,5,277%
,Duración,7,11,6,48,5,70
Bono C,Vida Media (años),9,65,8,56,7,29
,TIR,5,435%,5,435%,5,435%
,Duración,7,05,6,43,5,66
Bono D,Vida Media (años),9,65,8,56,7,29
,TIR,5,911%,5,911%,5,911%
,Duración,6,88,6,29,5,55
Bono E,Vida Media (años),10,52,9,36,8,02
,TIR,9,176%,9,176%,9,176%
,Duración,6,11,5,69,5,14
Fecha de Liquidación Anticipada del Fondo,,22/12/2021,22/06/2020,24/09/2018
