,,,,,
Fecha,EURIBOR 3M,Bonos A,Bonos B,Bonos C,Bonos D
,,,,,
31/03/2005,2,147%,2,277%,2,367%,2,597%,4,147%
29/04/2005,2,126%,2,256%,2,346%,2,576%,4,126%
31/05/2005,2,127%,2,257%,2,347%,2,577%,4,127%
30/06/2005,2,106%,2,236%,2,326%,2,556%,4,106%
29/07/2005,2,125%,2,255%,2,345%,2,575%,4,125%
31/08/2005,2,134%,2,264%,2,354%,2,584%,4,134%
30/09/2005,2,176%,2,306%,2,396%,2,626%,4,176%
31/10/2005,2,263%,2,393%,2,483%,2,713%,4,263%
30/11/2005,2,473%,2,603%,2,693%,2,923%,4,473%
30/12/2005,2,488%,2,618%,2,708%,2,938%,4,488%
31/01/2006,2,547%,2,677%,2,767%,2,997%,4,547%
28/02/2006,2,664%,2,794%,2,884%,3,114%,4,664%
31/03/2006,2,816%,2,946%,3,036%,3,266%,4,816%
28/04/2006
19/05/2006,2,852%
2,896%,2,982%
3,026%,3,072%
3,116%,3,302%
3,346%,4,852%
4,896%
