,orado con datos a 24 de mayo de 2007,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS PYMES TDA 1
(División por descripción de actividad),
,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
SALDO INICIAL RESIDUAL
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
ACTIVIDAD NUM ACTUAL PONDERADO PONDERADO
EUROS POR SALDO ACTUAL ACTUAL
% POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses),
,Actividades auxiliares a la intermediación financiera 22 2.478.516,01 0,3 183 154 4,6 3,370 5,750
Actividades diversas de servicios personales 113 10.268.016,80 1,25 214 184 4,6 2,280 8,500
Actividades informáticas. 41 6.306.080,97 0,77 205 175 4,6 2,800 8,000
Actividades inmobiliarias 1.413 301.835.572,18 36,7 216 187 4,5 2,280 8,750
Actividades y desarrollo. 1 53.940,46 0,01 240 227 5,1 5,094 5,094
Administración pública y Seguridad Social obligatoria 6 671.432,63 0,08 248 230 4,4 3,755 6,750
Agricultura, Ganadería,Caza, actividades relacionadas. 142 16.834.885,07 2,05 147 117 4,8 2,280 8,500
Alquiler de Maquinaria, efectos personales y enseres domésticos. 25 3.117.836,90 0,38 154 132 4,8 3,460 8,000
Asociativas 30 3.217.781,56 0,39 208 173 4,7 4,000 6,500
Caucho y materias plásticas. 30 2.557.556,94 0,31 143 112 4,7 4,071 7,000
Comercio al por mayor e intermediarios del comercio. 382 47.857.399,74 5,82 168 136 4,6 2,280 8,500
Comercio al por menor, reparación art. Personales y uso doméstico. 526 48.685.136,15 5,92 195 164 4,6 2,280 8,500
Confección y Peletería 19 1.638.628,67 0,2 160 131 4,9 4,188 8,500
Construcción de Maquinaria y equipo mecánico. 63 6.498.074,90 0,79 147 117 4,7 3,000 8,500
Construcción. 723 97.656.983,12 11,88 190 167 4,6 2,280 9,250
Correo y telecomunicaciones. 15 1.594.517,15 0,19 198 171 4,6 2,280 6,500
Curtido, artículos marroquinería y viajes, guarnicionería. 5 607.072,83 0,07 180 151 4,6 4,387 5,151
Edición, artes gráficas y reproducción. 73 8.661.178,27 1,05 176 145 4,7 3,560 8,250
Educación. 38 4.167.398,70 0,51 181 147 4,7 3,750 7,500
Energía eléctrica: gas, vapor agua caliente. 16 1.548.005,35 0,19 142 121 4,8 3,300 8,500
Hostelería. 379 42.129.970,03 5,12 187 155 4,7 2,280 8,500
Instrumentos médicos de precisión, óptica y relojería. 10 508.225,72 0,06 126 103 5,3 4,250 8,500
Intermediación financiera, excepto seguros y planes de pensiones. 4 756.110,16 0,09 135 114 4,4 3,914 5,921
Madera, corcho, cestería y espartería. 46 4.946.763,62 0,6 185 152 4,5 2,830 6,250
Maquinaria y material eléctrico. 22 1.466.137,42 0,18 160 131 4,9 2,280 7,750
Máquinas oficinas y equipos informáticos. 4 536.976,51 0,07 220 199 4,9 4,600 7,750
Material electrónico: radio, televisión y comunicaciones. 3 290.406,28 0,04 73 35 4,5 4,164 4,789
Metalúrgia 25 4.521.991,69 0,55 172 135 4,5 3,631 6,250
Minerales Metálicos. 2 447.062,46 0,05 194 156 4,5 4,289 4,537
Minerales no metálicos ni energéticos 15 2.025.173,12 0,25 104 69 4,8 4,238 5,314
Muebles, otras industrias manufactureras. 34 4.770.865,58 0,58 245 213 4,6 3,750 9,000
Otras actividades empresariales. 393 53.116.573,99 6,46 204 173 4,6 2,280 8,500
Otro material de transporte. 5 288.432,96 0,04 176 156 5,3 4,308 7,750
Papel 11 1.212.330,46 0,15 86 52 4,6 3,914 6,000
Pesca 6 557.519,09 0,07 218 187 5,1 4,651 6,614
Petróleo, gas natural y actividades relacionadas. 1 175.862,60 0,02 72 40 4,9 4,901 4,901
Producto: metálicos excepto maquinaria y equipos. 139 19.520.158,20 2,37 178 142 4,8 2,280 7,900
Productos alimenticios y bebidas 138 22.359.471,77 2,72 144 112 4,5 2,280 7,750
Productos minerales no metálicos. 31 3.237.912,93 0,39 172 139 4,6 3,851 8,500
Química 17 3.164.787,87 0,38 127 92 4,4 3,914 5,750
Reciclaje 6 346.368,22 0,04 87 64 4,9 3,855 6,500
Recreativas, culturales y deportivas. 105 14.147.622,45 1,72 158 122 4,6 2,680 7,250
Saneamiento público 12 840.003,67 0,1 127 85 5,0 3,751 8,250
Sanitarias, veterinarias y servicio social. 122 20.078.073,26 2,44 219 185 4,7 2,280 6,750
Seguros y planes de pensiones excepto 6 674.305,09 0,08 172 149 4,7 3,938 5,750
Selvicultura, forestal y actividades relacionadas. 7 722.865,60 0,09 194 154 5,0 4,549 6,064
Textil 36 3.571.058,07 0,43 122 91 4,7 2,280 7,500
Transporte marítimo. 1 256.921,38 0,03 180 162 4,7 4,715 4,715
Transporte terrestre, transporte por tuberías. 244 18.616.770,52 2,26 178 154 4,9 2,280 8,750
Uranio y bario. 3 156.279,97 0,02 103 67 4,7 4,615 4,920
Vehículos a motor, remolques y semiremolques. 9 831.122,66 0,1 133 103 4,7 4,038 5,151
Venta y mantenimiento vehículos. Venta menor combustibles vehículos. 150 21.532.643,07 2,62 154 123 4,7 2,280 7,950,
,TOTALES 5.715 822.335.882,44 100 194,0 164,3 4,570 2,280 9,250,
58,,
