,con datos a 24 de mayo de 2007,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS PYMES TDA 1
(División por Tipo de Interés Actual),,
,,,
,VENCIMIENTO VENCIMIENTO
SALDO INICIAL RESIDUAL TIPO ACTUAL
TIPO DE INTERÉS SALDO ACTUAL Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO POR SALDO Min. TIPO ACTUAL
ACTUAL EUROS ACTUAL
% POR SALDO POR SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),,
,2,00 - 2,50 98 7 9.152,66 0,01 120 96 2,370,2,280 2,400,
,2,50 - 3,00 8 1 .585.201,83 0,19 212 186 2,840 2,650 2,973
3,00 - 3,50 79 1 7.728.290,58 2,16 239 214 3,200 3,000 3,480
3,50 - 4,00 401 7 4.834.521,66 9,1 243 216 3,810 3,500 3,982
4,00 - 4,50 1.598 2 65.710.205,37 32,31 186 157 4,250 4,000 4,499
4,50 - 5,00 1.937 3 21.091.746,07 39,05 202 172 4,720 4,500 4,995
5,00 - 5,50 875 1 09.431.573,57 13,31 182 146 5,130 5,000 5,471
5,50 - 6,00 231 1 4.262.316,41 1,73 93 70 5,660 5,500 5,970
6,00 - 6,50 100 3 .626.329,64 0,44 69 47 6,110 6,000 6,421
6,50 - 7,00 153 5 .778.883,39 0,7 63 47 6,620 6,500 6,950
7,00 - 7,50 73 2 .689.372,95 0,33 72 58 7,110 7,000 7,350
7,50 - 8,00 111 3 .751.707,21 0,46 68 57 7,640 7,500 7,950
8,00 - 8,50 22 7 46.920,96 0,09 65 55 8,160 8,000 8,350
8,50 - 9,00 27 9 18.537,28 0,11 81 73 8,530 8,500 8,800
9,00 - 9,50 2 1 01.122,86 0,01 60 53 9,180 9,000 9,250,,
,TOTALES 5.715 822.335.882,44 100 194,0 164,3 4,570 2,280 9,250,,
60,,,
