,on datos a 24 de mayo de 2007,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAIXA PENEDÈS PYMES TDA 1
(División por concentración por deudor),
,,
,DEUDOR NUM, PRESTAMOS SALDO ACTUAL EUROS SALDO ACTUAL %,
,1 2 9.040.000,00 1,10%
2 3 8.907.767,10 1,08%
3 1 7.500.068,51 0,91%
4 7 5.415.866,39 0,66%
5 2 5.181.821,43 0,63%
6 2 3.952.679,67 0,48%
7 4 3.335.294,93 0,41%
8 3 2.940.688,02 0,36%
9 3 2.914.735,21 0,35%
10 8 2.612.136,63 0,32%
Resto 5680 770.534.824,55 93,70%,
,TOTAL 5.715 822.335.882,44 100%,
62,,
