,,,,
,Fondo,Fecha Constitución,Emitido,Saldo Bonos
30 de noviembre de 2008
,Fondos de Titulización Hipotecaria,,,
,TDA 4 - F.T.H.,22-abr-98,150.253.027€,17.099.900€
,TDA 6 - F.T.H.,20-ene-99,351.500.000€,44.095.851€
,TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,180.431.081€
,TDA 8 - F.T.H.,9-abr-99,150.200.000€,32.265.569€
,TDA 9 - F.T.H.,12-may-99,332.400.000€,60.489.927€
,TDA 10 - F.T.H.,21-jul-99,240.500.000€,34.018.658€
,TDA 11 - F.T.H.,24-ene-00,660.600.000€,132.026.930€
,TDA 12 - F.T.H.,26-jun-00,513.900.000€,114.176.644€
,Fondos de Titulización de Activos,,,
,TDA 13-MIXTO - F.T.A,5-dic-00,389.500.000€,100.004.177€
,TDA 14-MIXTO - F.T.A,20-jun-01,601.100.000€,183.613.559€
,TDA 15-MIXTO - F.T.A,4-nov-02,450.900.000€,182.485.415€
,TDA 16-MIXTO - F.T.A,26-may-03,532.000.000€,176.800.179€
,TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,173.753.397€
,TDA 18-MIXTO - F.T.A,14-nov-03,421.000.000€,172.057.267€
,TDA 19-MIXTO - F.T.A,27-feb-04,600.000.000€,278.405.672€
,TDA 20-MIXTO - F.T.A,25-jun-04,421.000.000€,219.295.260€
,TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,327.902.990€
,TDA 22-MIXTO - F.T.A,1-dic-04,530.000.000€,257.835.484€
,TDA 23 - F.T.A.,17-mar-05,860.000.000€,484.118.967€
,TDA 24- F.T.A.,28-nov-05,485.000.000€,323.244.949€
,TDA 25- F.T.A.,29-jul-06,265.000.000€,192.873.677€
,TDA 26-MIXTO - F.T.A,5-jul-06,908.100.000€,654.131.956€
,TDA 27- F.T.A.,20-dic-06,930.600.000€,752.959.602€
,TDA 28- F.T.A.,18-jul-07,451.350.000€,412.541.392€
,TDA 29- F.T.A.,25-jul-07,814.900.000€,718.654.052€
,TDA 30- F.T.A.,12-mar-08,388.200.000€,369.123.823€
,TDA 31- F.T.A.,19-nov-08,300.000.000€,300.000.000€
,TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,186.819.065€
,TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,417.523.701€
,TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,452.995.393€
,TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,532.232.707€
,TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,1.158.875.587€
,TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.376.857.604€
,TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,977.016.054€
,TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.434.614.003€
,TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.447.975.099€
,TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.376.990.811€
,TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,1.370.097.786€
,TDA CAM 11 - F.T.A.,12-nov-08,1.716.000.000€,1.716.000.000€
,TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,289.244.626€
,TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,615.012.633€
,TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,753.116.192€
,TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.099.296.751€
,TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,1.031.597.709€
,TDA IBERCAJA 6 - F.T.A.,20-jun-08,1.521.000.000€,1.477.610.352€
,TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,587.898.863€
,TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,376.474.345€
,CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,803.914.110€
,CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,678.363.869€
,TDA UNICAJA 1 - F.T.A.,9-may-08,419.600.000€,405.745.294€
,MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.616.362.714€
,MADRID RMBS II - F.T.A,12-dic-06,1.800.000.000€,1.447.741.103€
,MADRID RMBS III - F.T.A,11-jul-07,3.000.000.000€,2.686.485.240€
,MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,2.290.473.620€
,TDA CREDIFIMO 1 - F.T.A.,1-ago-08,317.300.000€,316.206.547€
,TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,271.255.646€
,TDA CCM CONSUMO 1 - F.T.A.,28-may-08,375.000.000€,319.548.272€
,FTPYME TDA 4 - F.T.A,10-oct-03,250.000.000€,50.410.969€
,FTPYME TDA 5 - F.T.A,29-dic-04,200.000.000€,52.571.196€
,FTPYME TDA 6 - F.T.A,24-nov-05,150.000.000€,71.186.190€
,FTPYME TDA 7 - F.T.A,21-dic-07,290.400.000€,256.824.747€
,FTPYME TDA SABADELL 1 - F.T.A,3-jun-02,600.000.000€,95.399.415€
,FTPYME TDA SABADELL 2 - F.T.A,12-nov-03,500.000.000€,182.403.771€
,FTPYME TDA CAM 1 - F.T.A,17-jun-02,600.000.000€,79.049.504€
