Fecha,,%,
23/02/2009,,1,88%,
22/05/2009,,4,69%,
24/08/2009,,4,69%,
23/11/2009,,4,69%,
22/02/2010,,3,75%,
24/05/2010,,3,75%,
23/08/2010,,3,75%,
22/11/2010,,3,28%,
22/02/2011,,3,28%,
23/05/2011,,3,28%,
22/08/2011,,3,28%,
22/11/2011,,3,28%,
22/02/2012,,3,28%,
22/05/2012,,2,82%,
22/08/2012,,2,82%,
22/11/2012,,2,82%,
22/02/2013,,2,82%,
22/05/2013,,2,82%,
22/08/2013,,2,82%,
22/11/2013,,2,82%,
24/02/2014,,2,82%,
22/05/2014,,2,82%,
22/08/2014,,2,82%,
24/11/2014,,2,35%,
23/02/2015,,2,35%,
22/05/2015,,2,35%,
24/08/2015,,2,35%,
23/11/2015,,2,35%,
22/02/2016,,2,35%,
23/05/2016,,2,35%,
22/08/2016,,4,50%,
22/11/2016,,2,15%,
22/02/2017,,1,84%,
