Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de mayo de 2010
Fondos de Titulización Hipotecaria,,,
TDA 7 - F.T.H.,12-mar-99,1.051.700.000€,124.897.492,90€
TDA 8 - F.T.H.,9-abr-99,150.200.000€,23.976.435,44€
TDA 9 - F.T.H.,12-may-99,332.400.000€,43.947.509,50€
TDA 11 - F.T.H.,24-ene-00,660.600.000€,97.088.200,40€
TDA 12 - F.T.H.,26-jun-00,513.900.000€,86.945.987,36€
TDA IBERCAJA ICO-FTVPO - F.T.H,14-jul-09,447.200.000€,422.634.791,15€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A.,5-dic-00,389.500.000€,78.816.824,35€
TDA 14-MIXTO - F.T.A.,20-jun-01,601.100.000€,147.810.128,68€
TDA 15-MIXTO - F.T.A.,4-nov-02,450.900.000€,150.098.811,95€
TDA 16-MIXTO - F.T.A.,26-may-03,532.000.000€,148.827.019,66€
TDA 17-MIXTO - F.T.A.,24-oct-03,455.000.000€,133.570.128,54€
TDA 18-MIXTO - F.T.A.,14-nov-03,421.000.000€,146.516.080,85€
TDA 19-MIXTO - F.T.A.,27-feb-04,600.000.000€,237.785.050,08€
TDA 20-MIXTO - F.T.A.,25-jun-04,421.000.000€,183.069.188,31€
TDA 21-MIXTO - F.T.A.,23-jul-04,775.000.000€,243.339.533,05€
TDA 22-MIXTO - F.T.A.,1-dic-04,530.000.000€,218.858.356,40€
TDA 23 - F.T.A.,17-mar-05,860.000.000€,400.886.552,48€
TDA 24- F.T.A.,28-nov-05,485.000.000€,275.220.961,74€
TDA 25- F.T.A.,29-jul-06,265.000.000€,174.068.663,18€
TDA 26-MIXTO - F.T.A.,5-jul-06,908.100.000€,516.560.250,14€
TDA 27- F.T.A.,20-dic-06,930.600.000€,644.721.087,15€
TDA 28- F.T.A.,18-jul-07,451.350.000€,374.607.275,40€
TDA 29- F.T.A.,25-jul-07,814.900.000€,595.853.886,19€
TDA 30- F.T.A.,12-mar-08,388.200.000€,325.809.152,94€
TDA 31- F.T.A.,19-nov-08,300.000.000€,242.905.683,60€
TDA PASTOR 1 - F.T.A.,25-feb-03,494.600.000€,146.529.016,04€
TDA CAM 1 - F.T.A.,13-mar-03,1.000.000.000€,336.415.477,30€
TDA CAM 2 - F.T.A.,27-jun-03,1.100.000.000€,367.563.072,08€
TDA CAM 3 - F.T.A.,16-ene-04,1.200.000.000€,422.540.926,08€
TDA CAM 4 - F.T.A.,9-mar-05,2.000.000.000€,948.285.043,20€
TDA CAM 5 - F.T.A.,5-oct-05,2.000.000.000€,1.157.447.849,60€
TDA CAM 6 - F.T.A.,29-mar-06,1.300.000.000€,770.698.119,50€
TDA CAM 7 - F.T.A.,13-oct-06,1.750.000.000€,1.143.262.960,18€
TDA CAM 8 - F.T.A.,7-mar-07,1.712.800.000€,1.180.314.577,70€
TDA CAM 9 - F.T.A.,3-jul-07,1.515.000.000€,1.030.704.769,65€
TDA CAM 10 - F.T.A.,5-dic-07,1.423.500.000€,993.381.132,18€
TDA CAM 11 - F.T.A.,12-nov-08,1.716.000.000€,1.533.409.990,08€
TDA CAM 12 - F.T.A.,6-feb-09,1.976.000.000€,1.801.397.562,00€
TDA IBERCAJA 1 - F.T.A.,8-oct-03,600.000.000€,236.407.939,44€
TDA IBERCAJA 2 - F.T.A.,13-oct-05,904.500.000€,524.494.470,78€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,649.052.672,00€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,936.050.177,88€
TDA IBERCAJA 5 - F.T.A.,11-may-07,1.207.000.000€,910.593.508,60€
TDA IBERCAJA 6 - F.T.A.,20-jun-08,1.521.000.000€,1.300.556.304,00€
TDA CAJAMAR 2 - F.T.A.,18-may-05,1.000.000.000€,498.878.455,00€
TDA TARRAGONA 1, F.T.A.,30-nov-07,397.400.000€,330.643.277,00€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,672.024.090,00€
CAIXA PENEDES 2 TDA - F.T.A.,26-sep-07,750.000.000€,562.562.088,51€
TDA UNICAJA 1 - F.T.A.,9-may-08,419.600.000€,345.743.936,12€
UNICAJA TDA VPO - F.T.A,18-jun-09,188.800.000€,180.097.075,20€
MADRID RMBS I - F.T.A.,15-nov-06,2.000.000.000€,1.200.493.178,00€
MADRID RMBS II - F.T.A.,12-dic-06,1.800.000.000€,1.058.461.682,40€
MADRID RMBS III - F.T.A.,11-jul-07,3.000.000.000€,1.961.395.737,50€
MADRID RMBS IV - F.T.A.,19-dic-07,2.400.000.000€,1.621.571.247,84€
TDA CREDIFIMO 1 - F.T.A.,1-ago-08,317.300.000€,242.829.676,55€
MADRID RESIDENCIAL I - F.T.A.,26-dic-08,805.000.000€,697.858.539,95€
MADRID ICO-FTVPO I - F.T.A.,19-dic-08,260.300.000€,215.522.569,28€
SOL-LION, F.T.A.,18-may-09,4.500.000.000€,4.106.823.840,00€
UNICAJA ANDALUCIA FTVIVIENDA TDA 1, FONDO DE TITULIZACION DE ACTIV,O 11-dic-09,200.000.000€,194.076.860,00€
TDA IBERCAJA 7, FONDO DE TITULIZACION DE ACTIVOS,18-dic-09,2.070.000.000€,2.023.659.950,00€
CAJA INGENIEROS TDA 1 - F.T.A,30-jun-09,270.000.000€,255.203.335,44€
TDA PASTOR CONSUMO 1 - F.T.A.,26-abr-07,300.000.000€,137.030.773,58€
TDA CCM CONSUMO 1 - F.T.A.,28-may-08,375.000.000€,157.598.652,60€
MADRID CONSUMO I - F.T.A.,17-dic-08,1.239.700.000€,551.750.179,75€
FTPYME TDA 4 - F.T.A.,10-oct-03,250.000.000€,30.078.875,30€
FTPYME TDA 5 - F.T.A.,29-dic-04,200.000.000€,32.631.468,44€
FTPYME TDA 6 - F.T.A.,24-nov-05,150.000.000€,45.595.773,60€
FTPYME TDA 7 - F.T.A.,21-dic-07,290.400.000€,177.316.574,02€
FTPYME TDA SABADELL 2 - F.T.A.,12-nov-03,500.000.000€,99.347.326,10€
FTPYME TDA CAM 2 - F.T.A.,17-nov-04,750.000.000€,168.535.437,22€
FTPYME TDA CAM 4 - F.T.A.,13-dic-06,1.529.300.000€,650.758.904,30€
FTGENVAL TDA CAM 1 - F.T.A.,3-jul-09,200.000.000€,174.682.160,00€
CIBELES III FTPYME - F.T.A.,18-dic-03,500.000.000€,100.359.268,00€
FTPYME TDA BANCA MARCH - F.T.A.,25-oct-04,200.000.000€,35.610.942,10€
CM BANCAJA 1 - F.T.A.,28-sep-05,556.200.000€,156.924.679,86€
EMPRESAS HIPOTECARIO TDA CAM 3 - F.T.A.,7-jul-06,750.000.000€,377.256.485,24€
