,DENOMINACIÓN SOCIAL,,,PORCENTAJE,,Nº ACCIONES,
Caja de Ahorros de Castilla La Mancha,,,12,86%,,,19.286,
Caja de Ahorros y Monte de Piedad de
Zaragoza, Aragón y Rioja (IBERCAJA),,,12,86%,,,19.286,
Caja de Ahorros del Mediterráneo,,,12,86%,,,19.286,
Caja de Ahorros Municipal de Burgos,,,12,86%,,,19.286,
Unicorp (Unicaja),,,12,86%,,,19.286,
EBN Banco de Negocios, S.A. (EBN),,,12,86%,,,19.286,
Caja de Ahorros y Monte de Piedad de Madrid,,,12,86%,,,19.284,
Aldermanbury Investments Limited,,,10,00%,,,15.000,
TOTAL,,,100,00%,,,150.000,
