Elaborado con datos a 8/06/2010,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN MADRID RESIDENCIAL II, FTA
(División por Localización Geográfica de la Garantía),,
,,,
,VENCIMIENTO
VENCIMIENTO
RESIDUAL TIPO ACTUAL
SALDO INICIAL PONDERADO Min. TIPO Máx. TIPO
PROVINCIA NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR
ACTUAL (%) POR SALDO INICIAL ACTUAL (%) ACTUAL (%)
SALDO ACTUAL SALDO ACTUAL (%)
(meses)
(meses),,
,A CORUÑA,61 9.799.925,39 1,50 397 363 1,93 1,565 5,900,
,ALAVA 8 2.009.137,22 0,31 396 359 1,68 1,575 1,865
ALBACETE 12 1.588.975,17 0,24 341 302 2,06 1,602 3,242
ALICANTE 76 12.111.200,64 1,86 377 343 2,09 1,525 5,000
ALMERIA 11 1.682.864,84 0,26 333 288 2,23 1,732 3,313
ASTURIAS 60 7.996.231,09 1,23 370 337 2,09 1,431 6,500
AVILA 13 2.001.190,53 0,31 344 312 1,68 1,525 1,893
BADAJOZ 17 1.919.879,08 0,29 353 322 1,97 1,601 3,187
BALEARES 71 13.938.993,99 2,14 362 320 2,41 1,675 5,250
BARCELONA 214 45.436.883,54 6,96 371 331 2,28 1,601 5,500
BURGOS 6 1.096.025,08 0,17 358 330 2,04 1,532 6,500
CACERES 21 2.384.080,20 0,37 397 366 1,98 1,575 4,750
CADIZ 86 12.609.724,30 1,93 373 335 2,04 1,582 5,000
CANTABRIA 50 7.410.542,89 1,14 386 346 2,03 1,515 5,500
CASTELLON 28 4.788.312,57 0,73 382 348 1,94 1,595 3,225
CEUTA 7 901.141,16 0,14 384 362 1,79 1,612 2,465
CIUDAD REAL 144 17.546.539,20 2,69 378 348 2,09 1,521 6,250
CORDOBA 37 4.710.096,03 0,72 357 314 2,22 1,675 5,000
CUENCA 8 848.793,09 0,13 335 295 3,30 2,115 4,123
GIRONA 71 12.064.950,14 1,85 364 321 2,64 1,631 5,250
GRANADA 34 4.069.046,62 0,62 354 313 2,17 1,675 3,243
GUADALAJARA 27 5.974.630,41 0,92 384 347 2,25 1,601 5,000
GUIPUZCOA 5 902.043,30 0,14 358 307 1,88 1,725 1,982
HUELVA 11 1.731.572,61 0,27 362 328 1,75 1,642 1,992
HUESCA 5 618.527,93 0,09 347 306 2,60 1,632 4,750
JAEN 17 2.075.037,22 0,32 343 302 1,99 1,522 2,742
LEON 26 3.632.450,61 0,56 366 332 1,89 1,481 3,225
LLEIDA 24 3.264.009,02 0,50 357 320 2,63 1,725 5,000
LUGO 2 286.411,25 0,04 330 296 1,75 1,581 1,915
MADRID 1.421 323.848.964,58 49,63 415 374 1,95 1,475 5,325
MALAGA 33 6.212.499,04 0,95 385 349 1,91 1,431 2,925
MURCIA 28 4.255.205,70 0,65 354 316 2,15 1,625 5,750
NAVARRA 10 1.876.343,75 0,29 359 320 1,97 1,581 3,682
OURENSE 1 120.328,80 0,02 360 340 1,72 1,715 1,715
PALENCIA 17 2.017.052,80 0,31 379 345 1,86 1,615 2,225
PALMAS LAS 35 4.611.237,48 0,71 366 328 2,07 1,615 5,500
PONTEVEDRA 83 12.130.188,21 1,86 381 346 2,02 1,481 6,500
RIOJA 13 2.005.304,51 0,31 397 356 2,34 1,665 5,250
SALAMANCA 20 2.931.136,06 0,45 380 352 1,74 1,525 2,042
SANTA C TENERIFE 34 4.462.762,65 0,68 356 318 2,43 1,575 5,500
SEGOVIA 14 2.160.505,41 0,33 373 342 2,29 1,592 5,125
SEVILLA 149 22.904.473,42 3,51 360 320 1,98 1,525 4,750
SORIA 1 71.429,18 0,01 480 452 1,83 1,832 1,832
TARRAGONA 64 11.227.529,80 1,72 359 318 2,61 1,681 5,500
TERUEL 4 432.545,04 0,07 381 340 2,17 1,732 2,981
TOLEDO 121 20.807.213,90 3,19 382 348 2,25 1,595 6,000
VALENCIA 156 28.597.098,12 4,38 382 350 1,98 1,481 5,000
VALLADOLID 27 3.846.613,81 0,59 406 374 2,05 1,485 5,500
VIZCAYA 30 6.852.018,32 1,05 393 353 1,94 1,565 3,889
ZAMORA 4 514.826,77 0,08 375 338 1,78 1,515 2,492
ZARAGOZA 33 5.254.176,94 0,81 369 328 1,87 1,625 3,231,,
,TOTALES 3.450 652.538.669,41 100,00 394 355 2,05 1,431 6,500,,
68,,,
