Fondo,Fecha Constitución,Emitido,Saldo Bonos
31 de mayo de 2007
Fondos de Titulización Hipotecaria,,,
TDA 4, F.T.H.,22-abr-98,150.253.027€,26.028.434€
TDA 5, F.T.H.,16-oct-98,1.171.973.634€,158.488.008€
TDA 6, F.T.H.,20-ene-99,351.500.000€,63.676.187€
TDA 7, F.T.H.,12-mar-99,1.051.700.000€,250.672.188€
TDA 8, F.T.H.,9-abr-99,150.200.000€,41.368.610€
TDA 9, F.T.H.,12-may-99,332.400.000€,79.104.604€
TDA 10, F.T.H.,21-jul-99,240.500.000€,46.101.376€
TDA 11, F.T.H.,24-ene-00,660.600.000€,175.897.686€
TDA 12, F.T.H.,26-jun-00,513.900.000€,150.329.947€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO, F.T.A.,5-dic-00,389.500.000€,127.225.841€
TDA 14-MIXTO, F.T.A.,20-jun-01,601.100.000€,226.426.691€
TDA 15-MIXTO, F.T.A.,4-nov-02,450.900.000€,216.279.084€
TDA 16-MIXTO, F.T.A.,26-may-03,532.000.000€,220.212.915€
TDA 17-MIXTO, F.T.A.,24-oct-03,455.000.000€,228.212.550€
TDA 18-MIXTO, F.T.A.,14-nov-03,421.000.000€,205.078.001€
TDA 19-MIXTO, F.T.A.,27-feb-04,600.000.000€,323.866.498€
TDA 20-MIXTO, F.T.A.,25-jun-04,421.000.000€,269.764.381€
TDA 21-MIXTO, F.T.A.,23-jul-04,775.000.000€,437.105.277€
TDA 22-MIXTO, F.T.A.,1-dic-04,530.000.000€,306.327.418€
TDA 23, F.T.A.,17-mar-05,860.000.000€,571.189.944€
TDA 24, F.T.A.,28-nov-05,485.000.000€,380.465.809€
TDA 25, F.T.A.,29-jul-06,265.000.000€,232.082.021€
TDA 26-MIXTO, F.T.A.,5-jul-06,908.100.000€,813.007.198€
TDA 27, F.T.A.,20-dic-06,930.600.000€,873.534.678€
TDA PASTOR 1, F.T.A.,25-feb-03,494.600.000€,232.078.125€
TDA CAM 1, F.T.A.,13-mar-03,1.000.000.000€,498.636.597€
TDA CAM 2, F.T.A.,27-jun-03,1.100.000.000€,566.775.166€
TDA CAM 3, F.T.A.,16-ene-04,1.200.000.000€,671.559.596€
TDA CAM 4, F.T.A.,9-mar-05,2.000.000.000€,1.368.778.442€
TDA CAM 5, F.T.A.,5-oct-05,2.000.000.000€,1.614.740.218€
TDA CAM 6, FTA,29-mar-06,1.300.000.000€,1.141.467.366€
TDA CAM 7, FTA,13-oct-06,1.750.000.000€,1.652.539.621€
TDA CAM 8, FTA,7-mar-07,1.712.800.000€,1.679.695.579€
TDA IBERCAJA 1, F.T.A.,8-oct-03,600.000.000€,356.509.681€
TDA IBERCAJA 2, F.T.A.,13-oct-05,904.500.000€,741.198.823€
TDA CAJAMAR 2, F.T.A.,18-may-05,1.000.000.000€,690.755.610€
TDA IBERCAJA 3, F.T.A.,12-may-06,1.007.000.000€,869.794.208€
TDA IBERCAJA 4, F.T.A.,18-oct-06,1.410.500.000€,1.275.740.256€
TDA IBERCAJA 5, F.T.A.,13-mar-07,1.712.800.000€,1.712.800.000€
CAIXA PENEDES 1 TDA, F.T.A.,18-oct-06,1.000.000.000€,943.417.620€
MADRID RMBS I, F.T.A.,15-nov-06,2.000.000.000€,1.895.954.946€
MADRID RMBS II, F.T.A.,12-dic-06,1.800.000.000€,1.708.670.990€
FTPYME TDA 3, F.T.A.,14-feb-02,225.055.000€,29.546.742€
FTPYME TDA 4, F.T.A.,10-oct-03,250.000.000€,85.856.702€
FTPYME TDA 5, F.T.A.,29-dic-04,200.000.000€,88.204.242€
FTPYME TDA 6, F.T.A.,24-nov-05,150.000.000€,105.448.175€
FTPYME TDA SABADELL 1, F.T.A.,3-jun-02,600.000.000€,133.843.691€
FTPYME TDA SABADELL 2, F.T.A.,12-nov-03,500.000.000€,309.601.013€
FTPYME TDA CAM 1, F.T.A.,17-jun-02,600.000.000€,127.200.029€
FTPYME TDA CAM 2, F.T.A.,17-nov-04,750.000.000€,400.888.480€
FTPYME TDA CAM 4, F.T.A.,13-dic-06,1.529.300.000€,1.287.199.536€
CIBELES III FTPYME, F.T.A.,18-dic-03,500.000.000€,294.935.015€
FTPYME TDA BANCA MARCH, F.T.A.,25-oct-04,200.000.000€,94.110.042€
CM BANCAJA 1, F.T.A.,28-sep-05,556.200.000€,335.384.338€
EMPRESAS HIPOTECARIO TDA CAM 3, F.T.A.,7-jul-06,750.000.000€,675.195.113€
TDA PASTOR CONSUMO 1, F.T.A.,26-abr-07,300.000.000€,300.000.000€
CÉDULAS TDA 1, F.T.A.,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2, F.T.A.,13-nov-03,2.000.000.000€,2.000.000.000€
