Elab,,007,
,,,
,,,
,EMISIÓN Madrid RMBS III, FTA
(División por Localización Geográfica de la Garantía),,
,,,
,VENCIMIENTO
VENCIMIENTO INICIAL TIPO ACTUAL
SALDO RESIDUAL PONDERADO Máx. TIPO
PROVINCIA GARANTÍA NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR Min. TIPO ACTUAL
ACTUAL % POR SALDO ACTUAL ACTUAL
SALDO INICIAL (meses) SALDO ACTUAL
(meses),,
,A CORUÑA 1 39 19.752.339,23 0,60 365 346 4,730 4,299 5,253
ALAVA 1 2 2.381.312,45 0,07 385 364 4,700 4,249 5,364
ALBACETE 5 8 8.199.411,18 0,25 349 331 5,140 4,321 6,253
ALICANTE 4 23 59.621.619,10 1,81 347 331 5,230 4,249 6,253
ALMERIA 8 0 11.334.321,06 0,34 321 303 5,260 4,556 6,106
ASTURIAS 2 61 32.881.885,15 1,00 358 337 4,950 4,249 5,814
AVILA 3 8 4.692.098,28 0,14 341 324 4,890 4,311 6,125
BADAJOZ 3 8 4.546.502,88 0,14 337 319 5,020 4,264 6,000
BALEARES 4 15 72.298.595,41 2,20 353 332 4,990 4,399 6,094
BARCELONA 2 .200 435.668.932,67 13,25 354 331 4,910 3,750 5,951
BURGOS 5 3 8.723.291,72 0,27 356 338 4,980 4,249 5,864
CACERES 3 1 3.757.327,27 0,11 326 303 4,950 4,311 6,094
CADIZ 1 16 18.383.637,45 0,56 346 330 5,020 4,250 6,253
CANTABRIA 2 34 35.736.472,84 1,09 365 343 4,890 4,299 5,814
CASTELLON 6 1 7.527.044,36 0,23 336 314 5,200 4,249 6,253
CEUTA 6 8 7.176.977,73 0,22 315 294 5,150 4,299 6,250
CIUDAD REAL 1 70 17.730.023,94 0,54 324 306 5,060 4,249 6,256
CORDOBA 6 5 7.053.528,07 0,21 322 294 5,080 4,364 6,106
CUENCA 4 9 6.251.057,80 0,19 331 314 5,440 4,614 6,253
GIRONA 7 09 110.744.128,01 3,37 347 327 5,190 4,189 6,250
GRANADA 5 5 7.501.429,03 0,23 335 317 4,950 3,000 6,106
GUADALAJARA 2 45 49.593.655,00 1,51 345 326 5,130 4,375 6,125
GUIPUZCOA 3 2 6.946.181,33 0,21 384 361 4,720 4,349 5,070
HUELVA 3 6 5.197.483,04 0,16 339 320 4,950 4,299 6,250
HUESCA 3 0 3.486.456,32 0,11 353 336 4,820 4,299 5,443
JAEN 3 9 3.951.067,56 0,12 336 318 5,160 4,299 6,253
LA RIOJA 4 9 6.811.716,41 0,21 357 336 5,050 4,449 5,356
LAS PALMAS 1 13 17.857.445,19 0,54 337 321 5,000 4,299 6,250
LEON 4 3 5.100.767,42 0,16 344 327 4,800 4,299 6,106
LLEIDA 4 93 58.117.872,02 1,77 303 276 5,170 3,750 5,830
LUGO 1 1 1.408.218,17 0,04 365 348 4,600 4,399 4,844
MADRID 8 .789 1.848.821.772,74 56,23 390 370 4,850 2,750 6,625
MALAGA 1 21 22.026.946,15 0,67 344 326 4,910 3,500 6,125
MURCIA 1 54 21.769.907,62 0,66 337 320 5,280 4,249 6,125
NAVARRA 9 7 17.929.641,47 0,55 365 342 4,980 4,264 5,765
ORENSE 7 838.456,94 0,03 340 323 4,510 4,299 5,564
PALENCIA 2 6 2.935.855,48 0,09 340 321 4,880 4,494 5,299
PONTEVEDRA 8 4 12.067.655,29 0,37 353 335 4,750 4,399 5,364
SALAMANCA 5 0 6.781.983,92 0,21 357 340 4,750 4,299 6,106
SANTA CRUZ 4 7 7.095.635,30 0,22 337 321 4,930 3,750 5,856
SEGOVIA 4 4 7.175.600,89 0,22 348 333 5,010 4,299 6,106
SEVILLA 2 44 34.268.508,55 1,04 347 327 4,960 4,250 6,000
SORIA 1 3 1.400.435,01 0,04 332 307 5,070 4,799 5,421
TARRAGONA 6 67 97.538.520,36 2,97 330 308 5,000 4,414 6,250
TERUEL 6 825.893,26 0,03 341 324 4,560 4,299 5,171
TOLEDO 3 01 52.577.413,70 1,60 351 332 5,110 3,250 6,594
VALENCIA 2 99 40.264.377,41 1,22 344 324 5,080 4,299 6,253
VALLADOLID 6 7 9.073.015,13 0,28 345 329 4,900 4,199 6,064
VIZCAYA 1 70 33.132.956,32 1,01 378 357 4,800 4,249 5,799
ZAMORA 9 1.070.895,45 0,03 354 341 4,930 4,364 5,844
ZARAGOZA 1 72 30.161.792,35 0,92 357 338 4,960 4,264 5,564,,
,TOTALES 17.733 3.288.190.061,43 100 371 351 4,920 2,750 6,625,,
,,,
