Elaborado con datos a 17/11/2007,,
,EMISIÓN Madrid RMBS IV, FTA
(División por Fecha de Formalización),
,,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO INICIAL RESIDUAL
FECHA SALDO PONDERADO Min. TIPO Máx. TIPO
NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR
FORMALIZACION ACTUAL % POR SALDO ACTUAL ACTUAL
SALDO INICIAL (meses) SALDO ACTUAL
ACTUAL
(meses),
,1995 1 53,136.09 0.00 240 94 5.700 5.700 5.700
1996 1 37,366.42 0.00 300 167 5.950 5.950 5.950
1997 8 408,163.97 0.01 264 144 5.530 5.060 5.770
1998 12 595,772.45 0.02 258 146 5.710 5.250 6.020
1999 13 618,940.66 0.02 274 174 5.630 5.090 5.990
2000 119 7,197,214.55 0.25 280 192 5.570 4.850 6.660
2001 138 9,172,952.32 0.32 272 196 5.490 4.600 6.505
2002 207 17,233,194.11 0.60 295 232 5.570 4.706 6.725
2003 519 52,525,228.71 1.84 298 246 5.630 4.706 6.750
2004 1,193 170,609,326.54 5.97 322 283 5.440 3.250 6.814
2005 3,142 538,417,429.98 18.84 341 313 5.240 3.000 6.750
2006 7,335 1,514,891,920.37 53.01 384 367 5.300 3.000 6.925
2007 2,721 545,994,882.27 19.11 404 397 5.160 2.750 6.875,
,TOTALES 15,409 2,857,755,528.44 100 373 353 5.280 2.750 6.925,
,,
,,
,,
