Elab,,
,,
,,
,EMISIÓN Madrid RMBS IV, FTA
(División por Localización Geográfica de la Garantía),
,,
,VENCIMIENTO
VENCIMIENTO INICIAL TIPO ACTUAL
SALDO RESIDUAL PONDERADO
PROVINCIA GARANTÍA NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR Min. TIPO ACTUALMáx. TIPO ACTUAL
ACTUAL % POR SALDO ACTUAL
SALDO INICIAL (meses) SALDO ACTUAL
(meses),
,A CORUÑA 101 1 4,344,936.34 0.50 366 349 5.160 4.653 6.123
ALAVA 12 2 ,156,511.79 0.08 369 343 5.040 4.556 5.725
ALBACETE 70 9 ,075,335.20 0.32 329 310 5.420 4.250 6.814
ALICANTE 527 7 1,509,002.52 2.50 344 325 5.590 3.250 6.875
ALMERIA 84 1 0,941,483.66 0.38 326 305 5.540 4.250 6.373
ASTURIAS 177 2 2,706,569.22 0.79 358 336 5.230 3.500 6.255
AVILA 44 6 ,018,292.76 0.21 355 339 5.400 3.250 6.564
BADAJOZ 69 6 ,857,926.48 0.24 333 317 5.240 4.250 6.564
BALEARES 222 3 8,582,108.35 1.35 357 336 5.380 4.250 6.666
BARCELONA 1,207 2 49,312,224.37 8.72 355 334 5.310 3.750 6.666
BURGOS 34 4 ,883,328.48 0.17 355 334 5.390 4.250 6.666
CACERES 50 5 ,537,889.36 0.19 330 314 5.120 4.250 6.725
CADIZ 185 2 7,278,892.83 0.95 342 322 5.370 4.250 6.725
CANTABRIA 167 2 6,056,897.25 0.91 367 346 5.250 3.500 6.253
CASTELLON 101 1 4,338,731.48 0.50 351 333 5.480 4.250 6.725
CEUTA 63 5 ,913,330.47 0.21 306 286 5.480 4.500 6.666
CIUDAD REAL 268 3 1,222,614.06 1.09 341 325 5.360 4.250 6.725
CORDOBA 107 1 2,032,435.39 0.42 342 317 5.400 4.250 6.725
CUENCA 48 5 ,863,189.19 0.21 336 320 5.850 4.950 6.666
GIRONA 437 7 3,752,630.03 2.58 350 330 5.550 3.500 6.666
GRANADA 79 9 ,642,429.31 0.34 338 319 5.530 4.850 6.666
GUADALAJARA 147 3 1,127,212.60 1.09 356 338 5.530 3.500 6.505
GUIPUZCOA 35 7 ,287,280.22 0.26 399 378 5.110 4.606 5.566
HUELVA 24 2 ,967,779.91 0.10 360 343 5.340 4.250 6.616
HUESCA 20 2 ,621,030.00 0.09 355 335 5.380 4.753 6.666
JAEN 59 6 ,127,214.50 0.21 329 309 5.480 4.250 6.666
LA RIOJA 48 7 ,096,385.77 0.25 356 336 5.490 4.250 6.564
LAS PALMAS 138 1 9,166,901.38 0.67 340 323 5.370 4.250 6.255
LEON 45 5 ,695,561.63 0.20 338 321 5.430 4.753 6.675
LLEIDA 317 4 0,656,652.00 1.42 316 291 5.560 4.250 6.505
LUGO 18 2 ,003,901.93 0.07 326 304 5.140 4.600 5.475
MADRID 7,848 1 ,671,108,528.41 58.48 390 371 5.200 2.750 6.750
MALAGA 120 2 1,977,753.74 0.77 345 327 5.260 3.250 6.416
MURCIA 178 2 5,506,495.88 0.89 340 320 5.680 3.500 6.925
NAVARRA 34 4 ,978,227.16 0.17 363 337 5.380 4.720 6.123
ORENSE 15 1 ,854,064.24 0.06 336 317 5.150 4.853 6.003
PALENCIA 38 4 ,757,159.30 0.17 336 313 5.250 4.873 5.725
PONTEVEDRA 108 1 5,243,124.92 0.53 355 336 5.250 4.753 6.123
SALAMANCA 45 6 ,210,119.50 0.22 357 337 5.130 4.250 6.666
SANTA CRUZ 109 1 5,543,986.71 0.54 341 324 5.470 3.500 6.725
SEGOVIA 43 7 ,113,481.87 0.25 335 317 5.440 4.250 6.166
SEVILLA 307 4 2,208,516.50 1.48 338 315 5.280 4.250 6.725
SORIA 4 4 07,055.40 0.01 333 309 5.330 5.053 5.666
TARRAGONA 498 8 2,743,228.35 2.90 341 323 5.440 4.000 6.560
TERUEL 10 1 ,454,438.27 0.05 325 307 5.190 4.250 5.666
TOLEDO 417 7 0,010,849.42 2.45 351 333 5.450 3.250 6.750
VALENCIA 432 6 3,322,948.84 2.22 353 336 5.410 3.750 6.925
VALLADOLID 78 1 1,024,377.01 0.39 354 333 5.210 3.500 6.253
VIZCAYA 105 2 0,948,824.03 0.73 396 375 5.170 3.500 6.253
ZAMORA 15 2 ,196,543.64 0.08 349 334 5.380 4.803 6.255
ZARAGOZA 102 1 6,369,126.77 0.57 359 337 5.370 4.250 6.775,
,TOTALES 15,409 2,857,755,528.44 100 373 353 5.280 2.750 6.925,
,,
,,
