Cartera de préstamos hipotecarios al día 28.02.2006
Clasificación por Deudor,,
,Préstamos
%,Principal Pendiente
(euros) %
Deudor 1,1 0,0130,994.541,85 0,1075
Deudor 2,1 0,0130,980.983,62 0,1063
Deudor 3,1 0,0130,975.735,39 0,1056
Deudor 4,1 0,0130,854.408,00 0,0926
Deudor 5,1 0,0130,840.000,00 0,0906
Deudor 6,1 0,0130,820.326,43 0,0888
Deudor 7,1 0,0130,807.318,15 0,0875
Deudor 8,1 0,0130,781.205,66 0,0847
Deudor 9,1 0,0130,779.739,91 0,0843
Deudor 10,1 0,0130,778.723,94 0,0843
Resto: 7.595 deudores,7.659 99,870,888.973.535,05 99,066
Total 7.669 100,00 897.586.518,00 100,00,,
