Cartera de préstamos hipotecarios al día 28.02.2006
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
2,00 - 2,24,1 0,01,,234.969,90 0,03,,2,10,
2,25 - 2,49,2 0,03,,343.426,64 0,04,,2,41,
2,50 - 2,74,58 0,76,,7.909.474,76 0,88,,2,66,
2,75 - 2,99,646 8,42,,97.011.147,19 10,81,,2,90,
3,00 - 3,24,1.984 25,87,,259.675.799,18 28,93,,3,11,
3,25 - 3,49,2.150 28,03,,249.558.409,68 27,80,,3,34,
3,50 - 3,74,1.591 20,75,,166.182.683,72 18,51,,3,59,
3,75 - 3,99,867 11,31,,84.415.392,97 9,40,,3,83,
4,00 - 4,24,233 3,04,,21.307.868,47 2,37,,4,06,
4,25 - 4,49,118 1,54,,9.931.036,97 1,11,,4,28,
4,50 - 4,74,10 0,13,,550.969,32 0,06,,4,53,
4,75 - 4,99,6 0,08,,377.508,79 0,04,,4,77,
5,00 - 5,24,1 0,01,,11.245,02 0,00,,5,00,
5,75 - 5,99,1 0,01,,53.203,46 0,01,,5,78,
6,00 - 6,24,1 0,01,,23.381,93 0,00,,6,22,
Total 7.669 100,00 897.586.518,00 100,00,,,,,,
Media ponderada: 3,34 %
Media simple: 3,39 %
Mínimo: 2,10 %
Máximo: 6,22 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,3,34,%
,Media simple:,,,,3,39,%
,Mínimo:,,,,2,10,%
,Máximo:,,,,6,22,%
