Cartera de préstamos hipotecarios al día 28.02.2006
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
%,Principal pendiente
(euros) %,Vida total residual *
Meses Fecha
2006,11 0,14,32.127,48 0,00,7,55 16/10/2006
2007,15 0,20,211.628,03 0,02,15,36 11/06/2007
2008,10 0,13,306.945,39 0,03,31,11 2/10/2008
2009,13 0,17,193.983,59 0,02,41,31 8/08/2009
2010,9 0,12,369.273,54 0,04,50,28 8/05/2010
2011,29 0,38,890.050,23 0,10,64,07 2/07/2011
2012,29 0,38,1.958.919,55 0,22,75,13 3/06/2012
2013,27 0,35,1.233.140,75 0,14,86,73 22/05/2013
2014,42 0,55,3.519.127,16 0,39,100,94 28/07/2014
2015,129 1,68,8.407.321,10 0,94,109,98 29/04/2015
2016,25 0,33,2.163.541,05 0,24,124,51 15/07/2016
2017,67 0,87,5.325.845,38 0,59,136,68 20/07/2017
2018,47 0,61,6.163.868,30 0,69,150,34 9/09/2018
2019,152 1,98,17.515.388,86 1,95,160,66 20/07/2019
2020,493 6,43,58.150.412,51 6,48,170,02 30/04/2020
2021,24 0,31,4.241.786,24 0,47,184,49 15/07/2021
2022,76 0,99,8.063.624,26 0,90,196,39 12/07/2022
2023,165 2,15,17.520.371,38 1,95,207,46 14/06/2023
2024,383 4,99,42.958.052,63 4,79,221,85 24/08/2024
2025,1.842 24,02,184.186.399,32 20,52,230,24 7/05/2025
2026,51 0,67,7.364.055,79 0,82,244,14 4/07/2026
2027,94 1,23,10.978.995,38 1,22,255,14 4/06/2027
2028,103 1,34,13.150.575,07 1,47,268,25 7/07/2028
2029,254 3,31,30.717.145,15 3,42,281,74 21/08/2029
2030,1.329 17,33,148.029.738,91 16,49,290,22 7/05/2030
2031,77 1,00,9.972.104,04 1,11,303,48 14/06/2031
2032,136 1,77,19.408.200,52 2,16,315,78 23/06/2032
2033,162 2,11,24.734.252,52 2,76,327,80 23/06/2033
2034,332 4,33,53.841.374,13 6,00,341,97 29/08/2034
2035,1.489 19,42,207.917.186,30 23,16,350,36 11/05/2035
2039,1 0,01,148.167,73 0,02,396,06 2/03/2039
2040,53 0,69,7.912.915,71 0,88,412,33 9/07/2040
Total 7.669 100,00 897.586.518,00 100,00,,,
Media ponderada: 273,82 23/12/2028
Media simple: 262,70 20/01/2028
8
Mínimo: 0,07 2/03/2006
Máximo: 415,21 5/10/2040
*Vida residual (meses y fecha) son medias ponderadas por el principal pendiente.,,,
