Cartera de préstamos hipotecarios al día 31.03.2007
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2009,33 0,18,767.775,60 0,04,28,11 2/08/2009
2010,49 0,26,1.462.938,72 0,07,39,84 26/07/2010
2011,81 0,43,3.056.559,47 0,15,51,85 26/07/2011
2012,105 0,56,5.049.921,42 0,25,63,80 24/07/2012
2013,123 0,66,5.049.465,55 0,25,75,96 29/07/2013
2014,265 1,42,12.929.044,84 0,63,87,51 16/07/2014
2015,577 3,10,33.166.716,81 1,62,99,78 24/07/2015
2016,552 2,96,32.950.191,33 1,61,109,45 13/05/2016
2017,278 1,49,17.100.746,73 0,84,123,24 7/07/2017
2018,297 1,59,22.613.297,89 1,11,135,25 8/07/2018
2019,631 3,39,45.137.534,50 2,21,147,81 25/07/2019
2020,1.437 7,72,115.883.123,36 5,68,159,62 18/07/2020
2021,1.225 6,58,106.984.718,40 5,24,169,39 12/05/2021
2022,194 1,04,18.877.240,33 0,92,182,77 23/06/2022
2023,214 1,15,25.043.870,00 1,23,195,24 8/07/2023
2024,272 1,46,30.459.753,70 1,49,206,93 27/06/2024
2025,1.430 7,68,152.277.070,45 7,46,220,98 29/08/2025
2026,1.966 10,56,213.273.836,57 10,45,229,23 7/05/2026
2027,127 0,68,15.930.440,56 0,78,243,62 19/07/2027
2028,172 0,92,21.255.839,32 1,04,255,17 5/07/2028
2029,214 1,15,29.027.269,80 1,42,267,57 17/07/2029
2030,1.223 6,57,152.292.968,11 7,46,281,17 4/09/2030
2031,1.822 9,78,212.663.881,47 10,42,289,18 6/05/2031
2032,193 1,04,27.574.712,60 1,35,302,99 29/06/2032
2033,277 1,49,41.326.421,56 2,02,315,04 1/07/2033
2034,323 1,73,51.090.743,84 2,50,327,07 2/07/2034
2035,1.518 8,15,221.211.317,76 10,83,341,05 1/09/2035
2036,2.367 12,71,331.820.417,97 16,25,349,08 2/05/2036
2037,3 0,02,466.600,95 0,02,360,48 14/04/2037
2038,6 0,03,1.059.365,12 0,05,377,46 13/09/2038
2039,8 0,04,1.306.467,67 0,06,388,50 15/08/2039
2040,144 0,77,21.395.530,21 1,05,402,25 7/10/2040
2041,386 2,07,56.568.212,13 2,77,409,75 23/05/2041
2042,5 0,03,667.871,12 0,03,423,05 1/07/2042
2043,3 0,02,682.167,24 0,03,438,59 18/10/2043
2044,4 0,02,609.715,85 0,03,446,92 27/06/2044
2045,2 0,01,447.874,16 0,02,461,99 29/09/2045
2046,79 0,42,12.012.476,47 0,59,473,54 15/09/2046
Total 18.624 100,00 2.041.691.173,75 100,00,,,
Media ponderada: 266,93 28/06/2029
Media simple: 243,39 12/07/2027
Mínimo: 3,55 17/07/2007
Máximo: 475,37 10/11/2046
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos hipotecarios que tienen el vencimiento final en el año correspondiente.,,,
