Cartera de préstamos hipotecarios al día 31.03.2007
Clasificación por Comunidades Autónomas,,
,Préstamos Hipotecarios
%,Principal pendiente
( euros) %
Andalucía,1.192 6,40,161.528.947,73 7,91
Aragón,149 0,80,16.211.934,16 0,79
Asturias,91 0,49,7.357.346,39 0,36
Baleares,690 3,70,115.873.000,22 5,68
Canarias,847 4,55,93.571.865,87 4,58
Cantabria,31 0,17,3.212.240,48 0,16
Cataluña,1.416 7,60,210.098.346,14 10,29
Ceuta,2 0,01,222.781,81 0,01
País Vasco,291 1,56,34.060.193,99 1,67
Extremadura,55 0,30,7.140.002,64 0,35
Galicia,342 1,84,28.239.852,06 1,38
Castilla-León,496 2,66,64.674.051,88 3,17
Madrid,1.153 6,19,164.176.448,56 8,04
Castilla La Mancha,413 2,22,43.762.720,41 2,14
Murcia,431 2,31,45.065.497,04 2,21
Navarra,802 4,31,87.169.262,80 4,27
La Rioja,75 0,40,7.493.135,07 0,37
Comunidad Valenciana,10.148 54,49,951.833.546,50 46,62
Total 18.624 100,00 2.041.691.173,75 100,00,,
