,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAJA INGENIEROS TDA 1
(División por tipo de interés actual),
,,
,VENCIMIENTO TIPO ACTUAL
TIPO DE INTERÉS SALDO VENCIMIENTO INICIAL
RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
ACTUAL NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) (%) SALDO INICIAL (meses)
(meses) (%),
,2,50 - 3,00 106 18.644.377,21 6,55 354,33 328,57 2,63 2,535 2,885
3,00 - 3,50 146 24.273.244,52 8,52 355,16 322,40 3,14 3,012 3,472
3,50 - 4,00 165 28.443.192,86 9,99 352,18 320,92 3,88 3,622 3,952
4,00 - 4,50 3 1 5.625.571,71 1,98 387,41 356,81 4,26 4,002 4,452
4,50 - 5,00 200 34.566.249,59 12,14 355,86 333,10 4,81 4,500 4,998
5,00 - 5,50 458 76.347.988,52 26,81 363,29 331,27 5,32 5,040 5,494
5,50 - 6,00 634 88.734.101,86 31,16 344,43 311,29 5,83 5,500 5,998
6,00 - 6,50 6 1 7.693.632,03 2,7 346,09 300,60 6,19 6,011 6,493
6,50 - 7,00 2 418.603,15 0,15 419,38 372,64 6,59 6,593 6,598,
,TOTALES 1.803 284.746.961,45 100 353,95 323,04 4,91 2,535 6,598,
62,,
