% TACP:,6,00%,8,00%,10,00%,12,00%,14,00%
Bonos Serie A1,,,,,
,Bonos Serie A1,,,,
Vida media (años),1,39,1,39,1,39,1,39,1,39
TIR,3,047%,3,047%,3,047%,3,047%,3,047%
Duración (años),1,32,1,32,1,32,1,32,1,32
Vencimiento final,19 10 2007,19 10 2007,19 10 2007,19 10 2007,19 10 2007
(en años),1,39,1,39,1,39,1,39,1,39
Bonos Serie A2a,,,,,
Vida media (años),8,10,7,06,6,21,5,54,4,98
TIR,3,118%,3,118%,3,118%,3,118%,3,118%
Duración (años),6,67,5,92,5,29,4,79,4,35
Vencimiento final,19 10 2023,19 01 2022,20 04 2020,21 01 2019,19 10 2017
(en años),17,40,15,65,13,90,12,65,11,39
