Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por Comunidades Autónomas,,
,Préstamos
%,Principal pendiente
( euros) %
Andalucía,8.072 42,220,527.363.140,05 35,37
Aragón,996 5,209,93.922.950,14 6,30
Asturias,6 0,031,499.785,10 0,03
Baleares,436 2,280,63.316.065,64 4,25
Canarias,1.084 5,670,89.594.317,88 6,01
Cantabria,297 1,553,23.247.589,67 1,56
Cataluña,151 0,790,21.443.317,59 1,44
País Vasco,271 1,417,34.541.180,29 2,32
Extremadura,684 3,578,29.141.757,77 1,95
Galicia,15 0,078,1.019.956,69 0,07
Castilla-León,1.641 8,583,115.941.435,52 7,78
Madrid,88 0,460,11.800.863,92 0,79
Castilla La Mancha,974 5,094,70.605.071,35 4,74
Murcia,271 1,417,19.740.426,87 1,32
Navarra,763 3,991,79.280.344,28 5,32
La Rioja,613 3,206,60.982.749,47 4,09
Comunidad Valenciana,2.757 14,420,248.494.706,02 16,67
Total 19.119 100,00 1.490.935.658,25 100,00,,
