Tipo N ú m ero % Saldo Saldo Tipo de interés
Saldo Vivo Saldo Inicial
interés Préstamos Vivo Medio Medio ponder.
2,51 - 3,00% 128 23.273.589,17 1,65% 181.825 24.182.318 2,95%
3,01 - 3,50% 2.498 418.947.988,38 29,72% 167.713 444.880.969 3,33%
3,51 - 4,00% 2.274 360.186.215,92 25,55% 158.393 388.302.527 3,76%
4,01 - 4,50% 2.803 355.129.363,10 25,19% 126.696 413.425.716 4,29%
4,51 - 5,00% 1.809 221.603.486,82 15,72% 122.501 249.239.710 4,65%
5,01 - 5,50% 172 17.673.130,45 1,25% 102.751 20.055.535 5,31%
5,51 - 6,00% 130 11.496.728,00 0,82% 88.436 12.908.946 5,82%
6,01 - 6,50% 20 1.488.748,31 0,11% 74.437 1.836.648 6,19%
6,51 - 7,00% 1 57.776,93 0,00% 57.777 72.121 6,95%
7,01 - 7,50% 1 26.485,51 0,00% 26.486 48.081 7,50%
Totales 9.836 1.409.883.512,59 100,00% 143.339 1.554.952.571 3,93%
