Cartera de préstamos al día 08.05.2007
Clasificación por Deudor,,
,Préstamos
%,Principal pendiente
(euros) %
Deudor 1,1 0,011,6.900.000,00 0,390
Deudor 2,1 0,011,6.488.716,47 0,367
Deudor 3,1 0,011,6.000.000,00 0,339
Deudor 4,1 0,011,6.000.000,00 0,339
Deudor 5,1 0,011,6.000.000,00 0,339
Deudor 6,1 0,011,5.556.020,11 0,314
Deudor 7,1 0,011,5.500.000,00 0,311
Deudor 8,1 0,011,5.400.000,00 0,305
Deudor 9,2 0,021,5.333.333,33 0,302
Deudor 10,1 0,011,5.151.765,26 0,291
Resto: 8.221 Deudores,9.316 99,882,1.709.306.208,35 96,70
Total deudores: 8.231 9.327 100,00 1.767.636.043,52 100,00,,
