Cartera de préstamos al día 08.05.2007
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
2,50 - 2,99,49 0,53,,7.262.010,40 0,41,,2,80,
3,00 - 3,49,93 1,00,,6.566.769,53 0,37,,3,29,
3,50 - 3,99,157 1,68,,38.918.628,86 2,20,,3,83,
4,00 - 4,49,1.812 19,43,,566.767.778,06 32,06,,4,32,
4,50 - 4,99,3.223 34,56,,799.890.541,74 45,25,,4,69,
5,00 - 5,49,1.816 19,47,,234.976.622,44 13,29,,5,14,
5,50 - 5,99,1.066 11,43,,71.976.063,38 4,07,,5,67,
6,00 - 6,49,632 6,78,,25.943.190,46 1,47,,6,11,
6,50 - 6,99,296 3,17,,10.043.907,76 0,57,,6,60,
7,00 - 7,49,80 0,86,,2.392.111,99 0,14,,7,06,
7,50 - 7,99,53 0,57,,1.506.771,64 0,09,,7,60,
8,00 - 8,49,26 0,28,,1.015.823,21 0,06,,8,10,
8,50 - 8,99,13 0,14,,163.959,69 0,01,,8,63,
9,00 - 9,49,11 0,12,,211.864,36 0,01,,9,01,
Total 9.327 100,00 1.767.636.043,52 100,00,,,,,,
Media ponderada: 4,68 %
Media simple: 5,00 %
Mínimo: 2,50 %
Máximo: 9,25 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,4,68,%
,Media simple:,,,,5,00,%
,Mínimo:,,,,2,50,%
,Máximo:,,,,9,25,%
