Cartera de préstamos al día 08.05.2007
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
10,00 - 10,49,89 0,95,34.478.903,91 1,95,10,00
11,00 - 11,49,3 0,03,610.503,93 0,03,11,00
11,50 - 11,99,1 0,01,8.985,77 0,00,11,50
12,00 - 12,49,858 9,20,231.192.258,96 13,08,12,00
12,50 - 12,99,33 0,35,5.916.699,35 0,33,12,50
13,00 - 13,49,20 0,21,4.636.755,31 0,26,13,01
13,50 - 13,99,1 0,01,19.675,11 0,00,13,50
14,00 - 14,49,30 0,32,9.601.460,21 0,54,14,00
14,50 - 14,99,5 0,05,143.345,42 0,01,14,50
15,00 - 15,49,1.040 11,15,251.670.621,63 14,24,15,00
15,50 - 15,99,1 0,01,7.333,25 0,00,15,50
16,00 - 16,49,86 0,92,9.877.689,18 0,56,16,00
17,00 - 17,49,9 0,10,1.033.681,89 0,06,17,00
18,00 - 18,49,50 0,54,13.921.901,26 0,79,18,00
19,00 - 19,49,9 0,10,1.174.445,45 0,07,19,00
20,00 - 20,49,37 0,40,6.366.390,75 0,36,20,00
20,50 - 20,99,1 0,01,224.769,06 0,01,20,99
22,00 - 22,49,24 0,26,8.647.506,21 0,49,22,00
24,00 - 24,49,1 0,01,77.614,69 0,00,24,00
25,00 - 25,49,5 0,05,3.140.510,87 0,18,25,00
26,00 - 26,49,1 0,01,72.020,19 0,00,26,00
29,00 - 29,49,13 0,14,7.457.305,50 0,42,29,00
31,00 - 31,49,1 0,01,34.182,94 0,00,31,00
35,00 - 35,49,2 0,02,5.135.985,32 0,29,35,00
35,50 - 35,99,1 0,01,1.790.929,22 0,10,35,99
36,00 - 36,49,1 0,01,1.796.752,78 0,10,36,00
Sin T.I.N. máximo aplicable,7.005 75,10,1.168.597.815,36 66,11,-
Total 9.327 100,00 1.767.636.043,52 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
