Cartera de préstamos hipotecarios al día 08.05.2007
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 10,00,49 3,37,4.454.495,83 0,69,7,17
10,01 - 20,00,145 9,97,28.077.638,63 4,36,15,54
20,01 - 30,00,160 11,00,46.777.565,00 7,26,25,36
30,01 - 40,00,174 11,96,67.605.925,33 10,49,35,32
40,01 - 50,00,208 14,30,102.119.626,05 15,85,45,22
50,01 - 60,00,224 15,40,106.481.556,42 16,53,55,87
60,01 - 70,00,246 16,91,122.560.158,61 19,02,64,84
70,01 - 80,00,137 9,42,84.404.537,83 13,10,75,17
80,01 - 90,00,45 3,09,28.681.258,52 4,45,84,57
90,01 - 100,00,27 1,86,22.096.217,56 3,43,94,72
100,01 - 110,00,10 0,69,11.120.154,31 1,73,107,23
110,01 - 120,00,9 0,62,3.792.171,63 0,59,114,26
120,01 - 130,00,5 0,34,2.466.714,04 0,38,125,36
130,01 - 140,00,1 0,07,305.405,83 0,05,130,96
140,01 - 150,00,6 0,41,3.673.275,11 0,57,142,82
150,01 - 160,00,2 0,14,224.072,92 0,03,152,76
170,01 - 180,00,3 0,21,1.965.112,70 0,31,178,17
180,01 - 190,00,1 0,07,471.031,79 0,07,184,63
190,01 - 200,00,3 0,21,7.009.127,60 1,09,196,57
Total 1.455 100,00 644.286.045,71 100,00,,,
Media Pondera da: 58,62 %
Media Simple: 49,73 %
Mínimo: 2,23 %
Máximo: 196,98 %
*Relación Prin cip al pendiente /V. Tasación s on medias p onderadas por el princip al pendient e.,,,
