TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS,Principal Pendiente,,Préstamos,
Intervalo (%),Euros %,,Número %,
2,50 - 2,99,19.184.322,40,1,14%,73,0,51%
3,00 - 3,49,231.184.565,07,13,73%,1.906,13,32%
3,50 - 3,99,706.862.517,51,41,99%,6.208,43,39%
4,00 - 4,49,523.833.367,66,31,12%,3.411,23,84%
4,50 - 4,99,148.472.617,79,8,82%,1.535,10,73%
5,00 - 5,49,37.759.239,84,2,24%,732,5,12%
5,50 - 5,99,12.484.812,30,0,74%,310,2,17%
6,00 - 6,49,3.072.579,69,0,18%,110,0,77%
6,50 - 6,99,462.933,40,0,03%,23,0,16%
Total:,1.683.316.955,66,100,00%,14.308,100,00%
Tipo de interés máximo: 6,750 %
Tipo de interés mínimo: 2,500 %
Tipo de interés medio: 4,073 %
Tipo de interés medio ponderado: 3,965 %,,,,
