Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por Deudor,,
,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Deudor 1,1 0,039,466.309,49 0,197
Deudor 2,1 0,039,416.239,09 0,176
Deudor 3,1 0,039,391.694,86 0,166
Deudor 4,1 0,039,388.736,20 0,164
Deudor 5,1 0,039,382.770,55 0,162
Deudor 6,1 0,039,368.949,63 0,156
Deudor 7,1 0,039,361.040,31 0,153
Deudor 8,1 0,039,346.136,26 0,146
Deudor 9,1 0,039,345.823,46 0,146
Deudor 10,1 0,039,343.508,55 0,145
Total 10 primeros deudores,10 0,393,3.811.208,40 1,612
Total deudores: 2.526 2.545 100,00 236.455.740,52 100,00,,
