Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01.07.2009 a 31.12.2009,194 7,62,22.670.934,97 9,59
01.01.2010 a 30.06.2010,219 8,61,24.519.060,79 10,37
01.07.2010 a 31.12.2010,234 9,19,26.557.977,85 11,23
01.01.2011 a 30.06.2011,132 5,19,14.458.923,69 6,11
01.07.2011 a 31.12.2011,166 6,52,17.424.832,37 7,37
01.01.2012 a 30.06.2012,82 3,22,8.496.382,86 3,59
Total 2.545 100,00 236.455.740,52 100,00,,
59,34 Meses Antigüedad media po nd erada
21.02.1994 232,01 Meses Antigüedad máxima
30.03.2012 14,63 Meses Antigüedad mínima,,
