Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
0,7500 - 0,9999,39 1,53,,5.590.195,83 2,36,,0,99,
1,0000 - 1,2499,315 12,38,,30.786.049,56 13,02,,1,13,
1,2500 - 1,4999,284 11,16,,21.762.807,93 9,20,,1,37,
1,5000 - 1,7499,299 11,75,,24.039.123,23 10,17,,1,61,
1,7500 - 1,9999,195 7,66,,19.533.350,24 8,26,,1,84,
2,0000 - 2,2499,210 8,25,,21.750.009,39 9,20,,2,04,
2,2500 - 2,4999,77 3,03,,7.039.994,99 2,98,,2,26,
2,5000 - 2,7499,164 6,44,,18.374.170,05 7,77,,2,50,
2,7500 - 2,9999,180 7,07,,19.433.261,21 8,22,,2,76,
3,0000 - 3,2499,239 9,39,,21.988.255,76 9,30,,3,00,
3,2500 - 3,4999,38 1,49,,2.986.606,30 1,26,,3,26,
3,5000 - 3,7499,210 8,25,,19.424.476,29 8,21,,3,51,
3,7500 - 3,9999,81 3,18,,6.952.733,83 2,94,,3,77,
4,0000 - 4,2499,94 3,69,,7.606.910,79 3,22,,4,00,
4,2500 - 4,4999,9 0,35,,671.248,83 0,28,,4,27,
4,5000 - 4,7499,81 3,18,,7.116.287,60 3,01,,4,53,
4,7500 - 4,9999,10 0,39,,591.518,07 0,25,,4,79,
5,0000 - 5,2499,14 0,55,,633.740,99 0,27,,5,02,
5,5000 - 5,7499,5 0,20,,162.950,76 0,07,,5,50,
5,7500 - 5,9999,1 0,04,,12.048,87 0,01,,5,75,
Total 2.545 100,00 236.455.740,52 100,00,,,,,,
Media ponderada: 2,31 %
Media simple: 2,34 %
Mínimo: 0,85 %
Máximo: 5,75 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente de vencer.,Media ponderada:,,,,2,31,%
,Media simple:,,,,2,34,%
,Mínimo:,,,,0,85,%
,Máximo:,,,,5,75,%
