Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por el año amortización final,,,
Año de amortización final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2013,1 0,04,5.903,39 0,00,5,59 05.12.2013
2014,6 0,24,54.822,43 0,02,14,04 19.08.2014
2015,22 0,86,309.165,26 0,13,26,51 03.09.2015
2016,42 1,65,748.162,19 0,32,36,19 24.06.2016
2017,57 2,24,1.112.189,85 0,47,48,64 07.07.2017
2018,55 2,16,1.382.020,01 0,58,60,30 27.06.2018
2019,59 2,32,1.776.483,38 0,75,72,91 16.07.2019
2020,64 2,51,2.224.491,00 0,94,84,45 01.07.2020
2021,74 2,91,2.688.080,68 1,14,96,38 29.06.2021
2022,71 2,79,3.383.056,07 1,43,108,21 25.06.2022
2023,84 3,30,3.948.624,54 1,67,120,70 10.07.2023
2024,76 2,99,4.540.430,23 1,92,132,91 15.07.2024
2025,72 2,83,3.633.764,96 1,54,144,88 15.07.2025
2026,73 2,87,4.285.063,60 1,81,157,17 24.07.2026
2027,65 2,55,4.540.036,98 1,92,168,73 11.07.2027
2028,53 2,08,3.730.710,26 1,58,181,12 22.07.2028
2029,72 2,83,5.556.709,61 2,35,192,55 05.07.2029
2030,122 4,79,9.586.101,83 4,05,204,05 20.06.2030
2031,117 4,60,9.714.872,07 4,11,216,48 03.07.2031
2032,103 4,05,10.312.354,98 4,36,228,12 21.06.2032
2033,84 3,30,9.146.851,58 3,87,241,30 28.07.2033
2034,119 4,68,13.108.343,67 5,54,252,55 05.07.2034
2035,142 5,58,15.522.459,00 6,56,264,29 27.06.2035
2036,113 4,44,13.620.415,19 5,76,276,37 29.06.2036
2037,81 3,18,10.998.168,31 4,65,287,21 25.05.2037
2038,97 3,81,12.332.396,03 5,22,300,22 25.06.2038
2039,123 4,83,17.225.252,24 7,28,312,42 01.07.2039
2040,159 6,25,21.681.213,68 9,17,325,17 23.07.2040
2041,98 3,85,14.043.676,00 5,94,336,86 14.07.2041
2042,54 2,12,7.368.768,52 3,12,346,52 04.05.2042
2043,44 1,73,5.937.972,04 2,51,359,50 03.06.2043
2044,41 1,61,6.768.151,68 2,86,373,32 28.07.2044
