Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por Deudor,,
,Préstamos
%,Principal pendiente
(euros) %
Deudor 1,1 0,0066,901.500,00 0,0777
Deudor 2,1 0,0066,900.417,82 0,0776
Deudor 3,1 0,0066,900.000,00 0,0775
Deudor 4,3 0,0199,856.838,68 0,0738
Deudor 5,3 0,0199,832.478,14 0,0717
Deudor 6,1 0,0066,733.900,09 0,0632
Deudor 7,1 0,0066,732.319,46 0,0631
Deudor 8,1 0,0066,721.215,00 0,0621
Deudor 9,1 0,0066,710.341,55 0,0612
Deudor 10,1 0,0066,700.000,00 0,0603
1.152.626.655,54 99,31
Resto: 14.811 Deudores,15.063 99,91,
Total 14.821 deudores 15.077 100.00 1.160.615.666,28 100.00,,
