Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
Del 01/01/2007 al 31/12/2007,38 0,25,699.974,40 0,06,20,64 7/07/2007
Del 01/01/2008 al 31/12/2008,84 0,56,2.161.379,00 0,19,33,82 11/08/2008
Del 01/01/2009 al 31/12/2009,103 0,68,2.613.701,63 0,23,45,21 24/07/2009
Del 01/01/2010 al 31/12/2010,121 0,80,4.439.764,30 0,38,56,42 30/06/2010
Del 01/01/2011 al 31/12/2011,168 1,11,5.733.078,44 0,49,69,17 23/07/2011
Del 01/01/2012 al 31/12/2012,249 1,65,9.884.395,29 0,85,81,27 26/07/2012
Del 01/01/2013 al 31/12/2013,389 2,58,17.806.096,46 1,53,92,91 15/07/2013
Del 01/01/2014 al 31/12/2014,523 3,47,25.171.008,79 2,17,105,31 27/07/2014
Del 01/01/2015 al 31/12/2015,391 2,59,23.584.078,70 2,03,115,47 2/06/2015
Del 01/01/2016 al 31/12/2016,365 2,42,20.937.370,71 1,80,129,15 22/07/2016
Del 01/01/2017 al 31/12/2017,450 2,98,27.348.545,74 2,36,140,44 1/07/2017
Del 01/01/2018 al 31/12/2018,663 4,40,44.217.078,95 3,81,152,90 15/07/2018
Del 01/01/2019 al 31/12/2019,1.038 6,88,76.581.470,36 6,60,165,06 20/07/2019
Del 01/01/2020 al 31/12/2020,607 4,03,45.340.623,78 3,91,173,91 15/04/2020
Del 01/01/2021 al 31/12/2021,263 1,74,18.254.747,53 1,57,189,29 27/07/2021
Del 01/01/2022 al 31/12/2022,528 3,50,37.874.495,82 3,26,201,43 31/07/2022
Del 01/01/2023 al 31/12/2023,854 5,66,61.020.737,25 5,26,213,04 19/07/2023
Del 01/01/2024 al 31/12/2024,1.366 9,06,104.348.350,00 8,99,224,77 10/07/2024
Del 01/01/2025 al 31/12/2025,724 4,80,60.076.532,05 5,18,233,50 2/04/2025
Del 01/01/2026 al 31/12/2026,205 1,36,15.938.926,19 1,37,249,58 5/08/2026
Del 01/01/2027 al 31/12/2027,502 3,33,40.635.125,13 3,50,261,21 25/07/2027
Del 01/01/2028 al 31/12/2028,805 5,34,66.121.368,70 5,70,272,88 14/07/2028
Del 01/01/2029 al 31/12/2029,1.355 8,99,119.024.593,93 10,26,284,90 15/07/2029
Del 01/01/2030 al 31/12/2030,695 4,61,63.365.745,94 5,46,293,17 23/03/2030
Del 01/01/2031 al 31/12/2031,50 0,33,4.325.622,68 0,37,308,86 14/07/2031
Del 01/01/2032 al 31/12/2032,111 0,74,9.310.970,94 0,80,321,57 4/08/2032
Del 01/01/2033 al 31/12/2033,348 2,31,34.423.311,76 2,97,333,13 22/07/2033
Del 01/01/2034 al 31/12/2034,1.108 7,35,114.341.843,77 9,85,345,70 8/08/2034
Del 01/01/2035 al 31/12/2035,974 6,46,105.034.728,04 9,05,352,99 18/03/2035
Total 15.077 100,00 1.160.615.666,28 100,00,,,
Media p on derada: 242,63 5/01/2026
Media simple: 223,59 5/06/2024
Mínimo: 15,67 6/02/2007
Máximo: 360,48 1/11/2035
* Vida residual a la fecha de vencimiento final (en meses y fecha) son medias ponderadas por el principal pendiente de
los préstamos que tienen el vencimiento final en el año correspondiente.,,,
