Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,7 0,05,157.480,46 0,01,4,68
5,01 - 10,00,57 0,38,1.542.510,28 0,13,7,82
10,01 - 15,00,141 0,94,3.694.484,15 0,32,13,00
15,01 - 20,00,238 1,58,9.557.543,97 0,82,17,68
20,01 - 25,00,351 2,33,14.076.820,71 1,21,22,71
25,01 - 30,00,405 2,69,19.396.812,25 1,67,27,47
30,01 - 35,00,537 3,56,28.210.989,67 2,43,32,71
35,01 - 40,00,579 3,84,34.516.759,26 2,97,37,58
40,01 - 45,00,667 4,42,42.219.692,78 3,64,42,65
45,01 - 50,00,1.043 6,92,70.070.783,16 6,04,47,77
50,01 - 55,00,1.187 7,87,85.182.361,06 7,34,52,55
55,01 - 60,00,1.281 8,50,99.012.720,62 8,53,57,43
60,01 - 65,00,1.353 8,97,107.031.823,29 9,22,62,52
65,01 - 70,00,1.503 9,97,125.166.158,94 10,78,67,57
70,01 - 75,00,1.887 12,52,157.988.986,35 13,61,72,68
75,01 - 80,00,2.631 17,45,244.622.511,54 21,08,77,48
80,01 - 85,00,492 3,26,45.459.650,63 3,92,82,35
85,01 - 90,00,323 2,14,30.996.482,19 2,67,87,26
90,01 - 95,00,230 1,53,23.123.541,33 1,99,92,32
95,01 - 100,00,165 1,09,18.587.553,64 1,60,96,96
15.077 100,00 1.160.615.666,28 100,00,,,
Media Pondera da: 64,26 %
Media Simple: 60,48 %
Mínimo: 2,87 %
Máximo: 100,00 %
*Relación Pri nci pal pendiente /V. Tasación s on medias p onderadas por el princip al pendient e.,,,
