,,,31.12.2006,,31.12.2005,,(A)/(B)
,,,,,,,
,BALANCE miles de euros),,,,,,
,,40.079,,34.101,,1,175,
,,,33.502,,28.583,,1,172
,,,31.486,,27.338,,1,152
,,,4.249,,3.960,,1,073
,,,4.500,,4.331,,1,039
,,,,,,,
CUENTA DE RESULTADOS miles de euros),,,,,,,
,,,1.166,,1.101,,1,059
,,,1.234,,1.165,,1,059
,,,1.234,,1.165,,1,059
,,,513,,503,,1,020
,,,337,,481,,0,701
,,,,,,,
,,,,,,,
RATIOS RELEVANTES (%),,,,,,,
,,,1,,2,,
,,,6,,10,,
,,,1,,1,,
,,,1,,1,,
,,,52,,52,,
,,,56,,55,,
,,,3,,1,,
,,,85,,395,,
,,,,,,,
RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,
,,,161,,168,,
,,,181,,193,,
,,,342,,361,,
,,,,,,,
INFORMACIÓN ADICIONAL,,,,,,,
,,,,,,,
,,,1.784,,1.738,,
,,,8,,8,,
,,,1,,1,,
