,Bonos Serie C,,,,
Vida media (años),10,16,9,02,8,08,7,26,6,58
TIR,4,690%,4,690%,4,690%,4,690%,4,690%
Duración (años),7,65,6,96,6,37,5,83,5,37
Vencimiento final,17 02 2022,17 08 2020,17 05 2019,19 02 2018,17 02 2017
(en años),14,89,13,38,12,13,10,89,9,88
,,,,,
,Bonos Serie D,,,,
Vida media (años),10,16,9,02,8,08,7,26,6,58
TIR,6,592%,6,592%,6,592%,6,592%,6,592%
Duración (años),6,89,6,32,5,83,5,37,4,98
Vencimiento final,17 02 2022,17 08 2020,17 05 2019,19 02 2018,17 02 2017
(en años),14,89,13,38,12,13,10,89,9,88
,,,,,
,Bonos Serie E,,,,
Vida media (años),11,03,9,84,8,86,7,95,7,21
TIR,8,250%,8,250%,8,250%,8,250%,8,250%
Duración (años),6,61,6,15,5,73,5,32,4,97
Vencimiento final,17 02 2022,17 08 2020,17 05 2019,19 02 2018,17 02 2017
(en años),14,89,13,38,12,13,10,89,9,88
