Cartera de préstamos hipotecarios al día 13.03.2007
Clasificación por Entidad Cedente,,
Entidad Cedente,Préstamos
Nº. %,Principal pendiente
(euros) %
CAIXA POPULAR-CAIXA RURAL, S.C.C.V.,37 0,20,9.285.146,45 0,51
CAIXA RURAL DE BALEARS, S.C.C.,436 2,37,61.871.622,02 3,39
CAIXA RURAL DE CALLOSA D´EN SARRIÁ,
C.C.V.,126 0,68,13.685.650,00 0,75
CAIXA RURAL GALEGA, S.C.C.L.G.,161 0,87,11.086.721,88 0,61
CAJA CAMPO, CAJA RURAL, S.C.C.,458 2,48,44.231.516,87 2,43
CAJA RURAL ARAGONESA Y DE LOS
PIRINEOS, S.C.C.,553 3,00,55.120.393,50 3,02
CAJA RURAL CENTRAL, S.C.C.,298 1,62,39.307.269,76 2,16
CAJA RURAL DE ARAGON, S.C.C.,955 5,18,118.648.172,69 6,51
CAJA RURAL DE ASTURIAS, S.C.C.,537 2,91,52.526.256,84 2,88
CAJA RURAL DE BURGOS, S.C.C.,324 1,76,22.806.669,08 1,25
CAJA RURAL DE CANARIAS, S.C.C.,497 2,70,53.028.643,43 2,91
CAJA RURAL DE CASINOS, S..C.C.V.,61 0,33,4.941.353,26 0,27
CAJA RURAL DE CORDOBA, S.C.C.,426 2,31,34.871.129,40 1,91
CAJA RURAL DE CUENCA, S.C.C.,565 3,06,38.985.768,92 2,14
CAJA RURAL DE EXTREMADURA, S.C.C.,608 3,30,39.037.949,94 2,14
CAJA RURAL DE GIJÓN, C.C.,67 0,36,7.595.739,98 0,42
CAJA RURAL DE GRANADA, S.C.C.,1.768 9,59,173.902.716,55 9,54
CAJA RURAL DE NAVARRA, S.C.C.,911 4,94,100.025.287,32 5,49
CAJA RURAL DE SORIA, S.C.C.,736 3,99,53.289.678,53 2,92
CAJA RURAL DE TENERIFE, S.C.C.,861 4,67,85.062.730,72 4,67
CAJA RURAL DE TERUEL, S.C.C.,180 0,98,19.335.090,76 1,06
CAJA RURAL DE ZAMORA, C.C.,266 1,44,22.094.217,44 1,21
CAJA RURAL DEL MEDITERRANEO,
RURALCAJA, S.C.C.,5.184 28,12,555.071.486,08 30,44
CAJA RURAL DEL SUR, SOCIEDAD
COOPERATIVA DE CRÉDIT,2.149 11,66,183.904.414,60 10,09
CAJA RURAL R. S. AGUSTÍN DE FUENTE
ÁLAMO M., S.C.C,164 0,89,13.841.740,50 0,76
CREDIT VALENCIA, C.R.C.C.V.,106 0,58,9.792.977,08 0,54
Total 18.434 100,00 1.823.350.343,60 100,00,,
