Cartera de préstamos hipotecarios al día 13.03.2007
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/07/1993 a 31/12/1993,2 0,01,44.732,66 0,00
01/01/1994 a 30/06/1994,2 0,01,19.630,21 0,00
01/07/1994 a 31/12/1994,1 0,01,19.968,05 0,00
01/01/1995 a 30/06/1995,5 0,03,139.539,80 0,01
01/07/1995 a 31/12/1995,1 0,01,37.563,24 0,00
01/01/1996 a 30/06/1996,8 0,04,187.875,64 0,01
01/07/1996 a 31/12/1996,26 0,14,706.800,36 0,04
01/01/1997 a 30/06/1997,45 0,24,858.674,99 0,05
01/07/1997 a 31/12/1997,67 0,36,1.655.087,64 0,09
01/01/1998 a 30/06/1998,105 0,57,2.637.315,90 0,14
01/07/1998 a 31/12/1998,87 0,47,2.471.904,97 0,14
01/01/1999 a 30/06/1999,122 0,66,3.772.607,65 0,21
01/07/1999 a 31/12/1999,100 0,54,4.611.877,34 0,25
01/01/2000 a 30/06/2000,151 0,82,6.446.800,87 0,35
01/07/2000 a 31/12/2000,221 1,20,9.115.760,96 0,50
01/01/2001 a 30/06/2001,230 1,25,11.346.403,45 0,62
01/07/2001 a 31/12/2001,263 1,43,15.208.839,61 0,83
01/01/2002 a 30/06/2002,367 1,99,21.635.331,94 1,19
01/07/2002 a 31/12/2002,484 2,63,30.610.229,99 1,68
01/01/2003 a 30/06/2003,643 3,49,48.580.137,50 2,66
01/07/2003 a 31/12/2003,662 3,59,55.741.069,22 3,06
01/01/2004 a 30/06/2004,970 5,26,89.041.031,74 4,88
01/07/2004 a 31/12/2004,1.256 6,81,114.058.247,49 6,26
01/01/2005 a 30/06/2005,1.458 7,91,141.844.795,44 7,78
01/07/2005 a 31/12/2005,4.267 23,15,451.338.131,55 24,75
01/01/2006 a 30/06/2006,5.738 31,13,669.500.641,91 36,72
01/07/2006 a 31/12/2006,1.153 6,25,141.719.343,48 7,77
Total 18.434 100,00 1.823.350.343,60 100,00,,
20,96 Meses Antigüedad media ponderada
162,51 Meses Antigüedad máxima
6,41 Meses Antigüedad mínima,,
